property_name,entity,city,county,resolution,meeting_date,item_type,minutes_confirmed,investor_1,nonprofit_partner,total_units,rent_restricted_pct,term_years,city_cut,grant_description
Ventana Residences Apartments,"99 Ocean Avenue LP, a Delaware limited partnership",,San Francisco,,2024-12-13,authorize,False,"Presidio Bay Ventures, LLC","Pacific Housing, Inc.",193,52% at 80% AMI,30,15000.0,"Grant up to $10,000 (Charitable Affordable Housing)"
SoFi Los Gatos Creek Apartments,"BWF III Ethos CA Los Gatos Creek LP, a Delaware limited partnership",San Jose,Santa Clara,24-472,2024-12-13,authorize,True,Ethos Real Estate,"Casa Major, Inc.",193,100% at 80% AMI,30,28950.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Chaparral Apartments,"Post Chaparral, LP, a Delaware limited partnership",Palmdale,Los Angeles,24-473,2024-12-13,authorize,True,Post Investment Group,Integrity Housing,296,100% at 80% AMI,30,44400.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Elevate Long Beach Apartments,"Gelt on 3rd LB, LP",Long Beach,Los Angeles,,2025-01-10,preliminary_only,False,Gelt Ventures Partners,Integrity Housing,171,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)"
2245 Amherst Apartments,2245 Amherst LLC,Los Angeles,Los Angeles,,2025-01-10,preliminary_only,False,HVN Development,Integrity Housing,38,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)"
Bella Vista Apartments,"Vintage Housing Holdings, LLC",Richmond,Contra Costa,25-038,2025-01-10,authorize,True,"Vintage Housing Holdings, LLC",Hearthstone Housing Foundation,8,at 80% AMI,30,98100.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Electric Lofts Apartments,"Electric Lofts, LP",Oakland,Alameda,25-066,2025-01-31,authorize,True,Trestle Development LLC,AOF / Pacific Affordable Housing Corp,89,10% at 60% AMI; 90% at 80% AMI,30,13350.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Harken Apartments,"PREG 5150 ECR Los Altos, LP, a California limited partnership",Los Altos,Santa Clara,25-065,2025-01-31,authorize,True,Prometheus Real Estate Group,Hearthstone Housing Foundation,29,15% at 60% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)"
Cherokee Avenue Apartments,1305 CherokeeOOZB LLC,Los Angeles,Los Angeles,,2025-01-31,preliminary_only,False,Uncommon Developers,Pacific Housing Inc.,52,100% at 80% AMI,30,7800.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Oak Park Apartments,"Post Oak Park Monrovia, LP",Monrovia,Los Angeles,,2025-01-31,preliminary_only,False,Post Investment Group,Integrity Housing,156,100% at 80% AMI,30,23400.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Meridian Apartments,"400 Meridian LP, a California limited partnership",San Rafael,Marin,25-083,2025-02-21,authorize,True,Tesseract Capital Group,Housing on Merit,99,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)"
333 Douglas Apartments,"333 Douglas Street, LP, a California limited partnership",Los Angeles,Los Angeles,,2025-02-21,authorize,False,,,,,,,"Grant up to $10,000 (Charitable Affordable Housing)"
Mansfield Micro Apartments,"2533 Mansfield Owner, L.P., a California limited partnership.",Los Angeles,Los Angeles,25-084,2025-02-21,authorize,True,"CIM Group, LLC","Pacific Housing, Inc.",116,100% at 80% AMI,30,17250.0,"Grant up to $10,000 (Charitable Affordable Housing)"
The Enclave Apartments,"ENCLAVE LP, a California limited partnership",Walnut Creek,Contra Costa,,2025-02-21,authorize,False,Tesseract Capital Group,Housing on Merit,32,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)"
501 S. Burlington Avenue Apartments,501 Burlington Owners L.P.,Los Angeles,Los Angeles,,2025-02-21,preliminary_only,False,Taylor Equities,"Kingdom Development, Inc.",42,100% at 80% AMI,30,6300.0,"Grant up to $10,000 (Charitable Affordable Housing)"
Brookhollow Apartments,"Post Brookhollow, LP",West Covina,Los Angeles,,2025-02-21,preliminary_only,False,Post Investment Group,Integrity Housing,188,100% at 80% AMI,30,28200.0,"Grant up to $10,000 (Charitable Affordable Housing)"
625 S. Burlington Avenue Apartments,625 Burlington Owners L.P.,Los Angeles,Los Angeles,,2025-02-21,preliminary_only,False,Taylor Equities,"Kingdom Development, Inc.",48,100% at 80% AMI,30,7200.0,"Grant up to $10,000 (Charitable Affordable Housing)"
