agency,property_name,entity,city,county,resolution,meeting_date,item_type,minutes_status,investor_1,investor_2,nonprofit_partner,total_units,restricted_units,rent_restricted_pct,term_years,city_cut,grant_description,address,estimated_closing,source
CMFA,Cherokee Avenue Apartments,1305 CherokeeOOZB LLC,Los Angeles,Los Angeles,,2025-01-31,preliminary_only,,Uncommon Developers,,Pacific Housing Inc.,52,52,100% at 80% AMI,30,7800.0,"Grant up to $10,000 (Charitable Affordable Housing)",1301-1307 N. Cherokee Avenue in,,cmfa-meeting-docs
CMFA,Oak Park Apartments,"Post Oak Park Monrovia, LP",Monrovia,Los Angeles,,2025-01-31,preliminary_only,,Post Investment Group,,Integrity Housing,156,156,100% at 80% AMI,30,23400.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Meridian Apartments,"400 Meridian LP, a California limited partnership",San Rafael,Marin,25-083,2025-02-21,authorize,approved,Tesseract Capital Group,,Housing on Merit,99,99,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",2022 and are sized to offset the electricity needs of all common areas. The grant for this project will create 99 units of affordable housing in,,cmfa-meeting-docs
CMFA,333 Douglas Apartments,"333 Douglas Street, LP, a California limited partnership",Los Angeles,Los Angeles,25-080,2025-02-21,authorize,approved,,,,,,,,,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Mansfield Micro Apartments,"2533 Mansfield Owner, L.P., a California limited partnership.",Los Angeles,Los Angeles,25-084,2025-02-21,authorize,approved,"CIM Group, LLC",,"Pacific Housing, Inc.",116,115,100% at 80% AMI,30,17250.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,The Enclave Apartments,"ENCLAVE LP, a California limited partnership",Walnut Creek,Contra Costa,25-082,2025-02-21,authorize,approved,Tesseract Capital Group,,Housing on Merit,32,32,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,501 S. Burlington Avenue Apartments,501 Burlington Owners L.P.,Los Angeles,Los Angeles,,2025-02-21,preliminary_only,,Taylor Equities,,"Kingdom Development, Inc.",42,42,100% at 80% AMI,30,6300.0,"Grant up to $10,000 (Charitable Affordable Housing)","501 S. Burlington Avenue Apartments project is a three-story,",,cmfa-meeting-docs
CMFA,Brookhollow Apartments,"Post Brookhollow, LP",West Covina,Los Angeles,,2025-02-21,preliminary_only,,Post Investment Group,,Integrity Housing,188,188,100% at 80% AMI,30,28200.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,625 S. Burlington Avenue Apartments,625 Burlington Owners L.P.,Los Angeles,Los Angeles,,2025-02-21,preliminary_only,,Taylor Equities,,"Kingdom Development, Inc.",48,48,100% at 80% AMI,30,7200.0,"Grant up to $10,000 (Charitable Affordable Housing)","625 S. Burlington Avenue Apartments project is a four-story,",,cmfa-meeting-docs
CMFA,The Groves at East Tabor Apartments,"Post Groves, LP",Fairfield,Solano,,2025-02-21,preliminary_only,,Post Investment Group,,Integrity Housing,148,148,100% at 80% AMI,30,22200.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
