agency,property_name,entity,city,county,resolution,meeting_date,item_type,minutes_status,investor_1,investor_2,nonprofit_partner,total_units,restricted_units,rent_restricted_pct,term_years,city_cut,grant_description,address,estimated_closing,source
CMFA,4101 Somerset Dr. Apartments,"6 SIOF 4101 Somerset Dr, LP",Los Angeles,Los Angeles,25-282,2025-06-27,authorize,approved,"SoLa Impact, LLC",,Housing on Merit,36,35,100% at 80% AMI,30,5250.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,321 E. Florence Apartments,"3 SIOF 321 E Florence Ave, LP",Los Angeles,Los Angeles,25-283,2025-06-27,authorize,approved,"SoLa Impact, LLC",,Housing on Merit,32,31,100% at 80% AMI,30,4650.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,6401 S. Avalon Blvd. Apartments,"6 SIOF 6401 S Avalon Blvd, LP",Los Angeles,Los Angeles,25-285,2025-06-27,authorize,approved,"SoLa Impact, LLC",,Housing on Merit,28,27,100% at 80% AMI,30,4050.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,9300 Compton Ave. Apartments,"6 SIOF 9300 Compton Ave, LP",Los Angeles,Los Angeles,25-284,2025-06-27,authorize,approved,"SoLa Impact, LLC",,Housing on Merit,20,19,100% at 80% AMI,30,2850.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,9515 Compton Ave. Apartments,"6 SIOF 9515 Compton Ave, LP",Los Angeles,Los Angeles,25-286,2025-06-27,authorize,approved,"SoLa Impact, LLC",,Housing on Merit,21,20,100% at 80% AMI,30,3000.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,10811 S. Compton Ave Apartments,"2 SIOF 10811 S Compton Ave, LP",Los Angeles,Los Angeles,25-287,2025-06-27,authorize,approved,"SoLa Impact, LLC",,Housing on Merit,29,28,100% at 80% AMI,30,4200.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Violet on Virgil Apartments,"Post Violet, LP",Los Angeles,Los Angeles,,2025-06-27,preliminary_only,,Post Investment Group,,Integrity Housing,302,302,100% at 80% AMI,30,45150.0,"Grant up to $10,000 (Charitable Affordable Housing)",160 S Virgil Ave,,cmfa-meeting-docs
CMFA,Meridian Apartments,400 MERIDIAN LP,San Rafael,Marin,25-307,2025-07-18,authorize,pulled,Tesseract Capital Group,,Housing on Merit,99,99,100% at 80% AMI,30,14850.0,"Grant up to $10,000 (Charitable Affordable Housing)",2022 and are sized to offset the electricity needs of all common areas. The grant for this project will create 99 units of affordable housing in,,cmfa-meeting-docs
CMFA,Kalmia Apartments,"Kalmia Supportive Housing, L.P., a California limited partnership",Los Angeles,Los Angeles,25-306,2025-07-18,authorize,pulled,A Community of Friends,,A Community of Friends,30,29,100% at 80% AMI,30,4350.0,"Grant up to $10,000 (Charitable Affordable Housing)","452 square feet that were designed to support independent living and housing stability. Every unit will include a private bathroom, kitchen",,cmfa-meeting-docs
CMFA,Pacific Trails Apartments,"Pacific Trails, LP",Azusa,Los Angeles,25-304,2025-07-18,authorize,approved,Langdon Park Capital,,Housing on Merit,84,84,100% at 80% AMI,30,12600.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,LINQ Apartments,"Ethos GP I Venture, LP",San Jose,Santa Clara,25-305,2025-07-18,authorize,approved,Ethos Real Estate,,"Pacific Housing, Inc.",230,230,100% at 80% AMI,30,34500.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Mosaic Apartments,"Pacific Housing, Inc. and Big 4 Properties, or an affiliate",Pittsburg,Contra Costa,,2025-07-18,preliminary_only,,"Big 4 Properties, LLC",,"Pacific Housing, Inc.",208,208,100% at 80% AMI,30,31200.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Ventana Rental Homes Apartments,"Pacific Housing, Inc. and Big 4 Properties, or an affiliate",Pittsburg,Contra Costa,,2025-07-18,preliminary_only,,"Big 4 Properties, LLC",,"Pacific Housing, Inc.",148,148,100% at 80% AMI,30,22200.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,236 Berendo Street Apartments,"Terra Capital Development Group LLC and Pacific Housing, Inc., or an affiliate",Los Angeles,Los Angeles,,2025-07-18,preliminary_only,,Terra Capital Development Group LLC,,"Pacific Housing, Inc.",52,51,100% at 80% AMI,30,7800.0,"Grant up to $10,000 (Charitable Affordable Housing)","236 Berendo Street Apartments project is a proposed new construction of a 5-story,",,cmfa-meeting-docs
CMFA,Chatsworth Apartments,"Chatsworth Housing, LP",Los Angeles,Los Angeles,25-308,2025-07-18,authorize,approved,BMI Developments,,"Kingdom Development, Inc.",69,68,100% at 80% AMI,30,10200.0,"Grant up to $10,000 (Charitable Affordable Housing)","17188 Chatsworth St. Apartments, is a new construction",,cmfa-meeting-docs
CMFA,Meridian Apartments,400 MERIDIAN LP,San Rafael,Marin,25-346,2025-08-08,authorize,pulled,Tesseract Capital Group,,Housing on Merit,99,99,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",2022 and are sized to offset the electricity needs of all common areas. The grant for this project will create 99 units of affordable housing in,,cmfa-meeting-docs
CMFA,Huston Affordable Housing Apartments,10910 Huston LP,Los Angeles,Los Angeles,25-353,2025-08-08,authorize,approved,"Angeleno Investments, LP",,Las Palmas Housing & Development Corporation,38,37,100% at 80% AMI,30,5550.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Canyon Villa Apartment Homes,"Post Canyon Villa, LP",Chula Vista,San Diego,25-352,2025-08-08,authorize,approved,Post Investment Group,,Integrity Housing,183,183,100% at 80% AMI,30,27450.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Azusa Gardens Apartments,"Azusa Gardens Owner, LP",Azusa,Los Angeles,25-347,2025-08-08,authorize,approved,TriWest Multifamily,,"Kingdom Development, Inc.",112,112,100% at 80% AMI,30,16800.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Fountain Park Apartments,"Fountain Park, L.P., a California limited partnership",San Jose,Santa Clara,25-349,2025-08-08,authorize,approved,Belveron Partners,,Las Palmas Housing & Development Corporation,164,164,100% at 80% AMI,30,24600.0,"Grant up to $10,000 (Charitable Affordable Housing)","164 total units including 54 studios,",,cmfa-meeting-docs
CMFA,The Parker Apartments,"Flag VII The Parker, L.P.",El Monte,Los Angeles,25-350,2025-08-08,authorize,approved,Belveron Partners,,Las Palmas Housing & Development Corporation,177,177,100% at 80% AMI,30,26550.0,"Grant up to $10,000 (Charitable Affordable Housing)","177 total units including 22 studios,",,cmfa-meeting-docs
CMFA,Canyon Ridge at Napa Junction Apartments,"Canyon Ridge at Napa Junction, LP",American Canyon,Napa,25-351,2025-08-08,authorize,approved,BRIDGE Housing Corporation,,,148,148,100% at 80% AMI,30,22200.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,11001 S. Vermont Ave. Apartments,"5 SIOF 11001 S Vermont St, LP",Los Angeles,Los Angeles,,2025-08-08,preliminary_only,,"SoLa Impact, LLC",,Housing on Merit,84,83,100% at 80% AMI,30,12450.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Park Kiely Apartments,"Standard Vistria Park Kiely Owner, LP",San Jose,Santa Clara,25-348,2025-08-08,authorize,approved,Standard Property Company,,Housing on Merit,948,948,100% at 80% AMI,30,93600.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Citrine Apartments,"Citrine Preservation, LP",Healdsburg,Sonoma,25-428,2025-08-29,authorize,pulled,The Transcend Group,,Retail Store Employees Building Corporation,37,37,100% at 80% AMI,30,5550.0,"Grant up to $10,000 (Charitable Affordable Housing)",1 mile north of the historic Healdsburg Plaza,,cmfa-meeting-docs
CMFA,Camden Village Apartments,"Flag VII Camden Village, L.P.",Fremont,Alameda,25-423,2025-08-29,authorize,approved,Belveron Partners,,Las Palmas Housing & Development Corporation,192,192,100% at 80% AMI,30,28800.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Passo Barrington Apartments,"Passo Barrington, LP",Los Angeles,Los Angeles,25-424,2025-08-29,authorize,approved,Glimcher Capital Group,,Housing on Merit,53,52,100% at 80% AMI,30,7800.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Passo Centinela I Apartments,"Passo Centinela, LP",Los Angeles,Los Angeles,25-425,2025-08-29,authorize,approved,Glimcher Capital Group,,Housing on Merit,72,71,100% at 80% AMI,30,10650.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Passo Centinela II Apartments,"Passo Centinela 2, LP",Los Angeles,Los Angeles,25-426,2025-08-29,authorize,approved,Glimcher Capital Group,,Housing on Merit,73,72,100% at 80% AMI,30,10800.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Passo Stoner Apartments,"Passo Stoner, LP",Los Angeles,Los Angeles,25-427,2025-08-29,authorize,approved,Glimcher Capital Group,,Housing on Merit,53,52,100% at 80% AMI,30,7800.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,4th Street Apartments,2025 E 4th Street LLLP,Los Angeles,Los Angeles,25-448,2025-09-19,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",25,25,100% at 80% AMI,30,3750.0,"Grant up to $10,000 (Charitable Affordable Housing)",2025,,cmfa-meeting-docs
CMFA,Alexandria I Apartments,247 S Alexandria LLLP,Los Angeles,Los Angeles,25-449,2025-09-19,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",27,27,100% at 80% AMI,30,4050.0,"Grant up to $10,000 (Charitable Affordable Housing)",247 S. Alexandria Avenue in Los Angeles. The property is a three-story building that contains 27,,cmfa-meeting-docs
CMFA,Ashby Apartments,808 S Hobart LLLP,Los Angeles,Los Angeles,25-450,2025-09-19,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",49,49,100% at 80% AMI,30,7350.0,"Grant up to $10,000 (Charitable Affordable Housing)",808 S,,cmfa-meeting-docs
CMFA,Catalina Apartments,454 Catalina LLLP,Los Angeles,Los Angeles,25-451,2025-09-19,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",48,48,100% at 80% AMI,30,7200.0,"Grant up to $10,000 (Charitable Affordable Housing)",454,,cmfa-meeting-docs
CMFA,Edgemont Apartments,103 S Edgemont LLLP,Los Angeles,Los Angeles,25-452,2025-09-19,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",43,43,100% at 80% AMI,30,6450.0,"Grant up to $10,000 (Charitable Affordable Housing)",103,,cmfa-meeting-docs
CMFA,Gramercy Apartments,Carson Gramercy LLLP // 974 S Gramercy LLLP,Los Angeles,Los Angeles,25-453,2025-09-19,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",38,38,100% at 80% AMI,30,5700.0,"Grant up to $10,000 (Charitable Affordable Housing)",974,,cmfa-meeting-docs
CMFA,Irolo Apartments,Irolo 16 LLLP,Los Angeles,Los Angeles,25-454,2025-09-19,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",32,32,100% at 80% AMI,30,4800.0,"Grant up to $10,000 (Charitable Affordable Housing)",832 Irolo,,cmfa-meeting-docs
CMFA,Kenmore I Apartments,Kenmore 20 LLLP,Los Angeles,Los Angeles,25-455,2025-09-19,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",24,24,100% at 80% AMI,30,3600.0,"Grant up to $10,000 (Charitable Affordable Housing)",941,,cmfa-meeting-docs
CMFA,Manhattan III Apartments,426 Manhattan LLLP,Los Angeles,Los Angeles,25-456,2025-09-19,authorize,approved,,,,,,,,,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Mariposa II Apartments,260 S Mariposa LLLP,Los Angeles,Los Angeles,25-457,2025-09-19,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",40,40,100% at 80% AMI,30,6000.0,"Grant up to $10,000 (Charitable Affordable Housing)",260 S. Mariposa Avenue in Los Angeles. The property is a four-story building that contains 40,,cmfa-meeting-docs
CMFA,Sandpiper Cove Apartments,Sandpiper Cove Apartments,Yuba City,Sutter,,2025-09-19,preliminary_only,,Cahill Realty,,Central Valley Coalition for Affordable Housing,90,90,100% at 80% AMI,30,13500.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Normandie Apartments,739 Normandie LLLP,Los Angeles,Los Angeles,25-458,2025-09-19,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",32,32,100% at 80% AMI,30,4800.0,"Grant up to $10,000 (Charitable Affordable Housing)",739 S. Normandie Avenue in Los Angeles. The property is a four-story building that contains 32,,cmfa-meeting-docs
CMFA,Norton Apartments,1111 Norton LLLP,Los Angeles,Los Angeles,25-459,2025-09-19,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",20,20,100% at 80% AMI,30,3000.0,"Grant up to $10,000 (Charitable Affordable Housing)",1111,,cmfa-meeting-docs
CMFA,Oxford I Apartments,Oxford 19 LLLP,Los Angeles,Los Angeles,25-460,2025-09-19,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",60,60,100% at 80% AMI,30,9000.0,"Grant up to $10,000 (Charitable Affordable Housing)",975-,,cmfa-meeting-docs
CMFA,Oxford III Apartments,960 S Oxford LLLP,Los Angeles,Los Angeles,25-461,2025-09-19,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",73,73,100% at 80% AMI,30,10950.0,"Grant up to $10,000 (Charitable Affordable Housing)",960,,cmfa-meeting-docs
CMFA,Seven Lions Apartments,3715 W 1st Street LLLP,Los Angeles,Los Angeles,25-462,2025-09-19,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",55,55,100% at 80% AMI,30,8250.0,"Grant up to $10,000 (Charitable Affordable Housing)",3715 W. 1st Street in Los Angeles. The property is a six-story building that contains 55 units. The,,cmfa-meeting-docs
CMFA,St. Andrews I Apartments,515 S St. Andrews LLLP,Los Angeles,Los Angeles,25-463,2025-09-19,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",40,40,100% at 80% AMI,30,6000.0,"Grant up to $10,000 (Charitable Affordable Housing)",515 St. Andrews Place in Los Angeles. The property is a three-story building that contains 40 units,,cmfa-meeting-docs
CMFA,St. Andrews II Apartments,516 St. Andrews LLLP,Los Angeles,Los Angeles,25-464,2025-09-19,authorize,approved,,,,,,,,,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,12th Street Apartments,12th Street 19 LLLP,Los Angeles,Los Angeles,25-486,2025-10-10,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",16,16,100% at 80% AMI,30,2500.0,"Grant up to $10,000 (Charitable Affordable Housing)",3048,,cmfa-meeting-docs
CMFA,Alexandria II Apartments,130 Alexandria LLLP,Los Angeles,Los Angeles,25-487,2025-10-10,authorize,approved,,,,,,,,,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Fedora Apartments,861 Fedora LLLP,Los Angeles,Los Angeles,25-488,2025-10-10,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",39,39,100% at 80% AMI,30,5850.0,"Grant up to $10,000 (Charitable Affordable Housing)",861,,cmfa-meeting-docs
CMFA,Kenmore II Apartments,Kenmore II 20 LLLP,Los Angeles,Los Angeles,25-489,2025-10-10,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",48,48,100% at 80% AMI,30,7200.0,"Grant up to $10,000 (Charitable Affordable Housing)",200 S. Kenmore Avenue in Los Angeles. The property is a four-story building that contains 48,,cmfa-meeting-docs
CMFA,Kenmore III Apartments,915 S Kenmore LLLP,Los Angeles,Los Angeles,25-490,2025-10-10,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",18,18,100% at 80% AMI,30,2700.0,"Grant up to $10,000 (Charitable Affordable Housing)",915 S. Kenmore Avenue in Los Angeles. The property is a three-story building that contains 18,,cmfa-meeting-docs
CMFA,Kinglsey Apartments,530 Kingsley LLLP,Los Angeles,Los Angeles,25-491,2025-10-10,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",45,45,100% at 80% AMI,30,6750.0,"Grant up to $10,000 (Charitable Affordable Housing)",530,,cmfa-meeting-docs
CMFA,Mariposa I Apartments,Mariposa 20 LLLP,Los Angeles,Los Angeles,25-492,2025-10-10,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",40,40,100% at 80% AMI,30,6000.0,"Grant up to $10,000 (Charitable Affordable Housing)",727,,cmfa-meeting-docs
CMFA,The Falls at Arden Apartments,"GB Falls, LP",Sacramento,Sacramento,25-484,2025-10-10,authorize,approved,Jackson Square Properties,,Housing on Merit,272,272,100% at 80% AMI,30,,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Citrine Apartments,"Citrine Preservation, LP",Healdsburg,Sonoma,25-485,2025-10-10,authorize,approved,The Transcend Group,,Retail Store Employees Building Corporation,37,37,100% at 80% AMI,30,5550.0,"Grant up to $10,000 (Charitable Affordable Housing)",1 mile north of the historic Healdsburg Plaza,,cmfa-meeting-docs
CMFA,Mariposa III Apartments,750 Mariposa LLLP,Los Angeles,Los Angeles,25-493,2025-10-10,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",23,23,100% at 80% AMI,30,3450.0,"Grant up to $10,000 (Charitable Affordable Housing)",750-752 S. Mariposa Avenue in Los Angeles. The property is a five-story building that contains 23,,cmfa-meeting-docs
CMFA,Mariposa IV Apartments,520 Mariposa LLLP,Los Angeles,Los Angeles,25-494,2025-10-10,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",48,48,100% at 80% AMI,30,7200.0,"Grant up to $10,000 (Charitable Affordable Housing)",520 S. Mariposa Avenue in Los Angeles. The property is a four-story building that contains 48,,cmfa-meeting-docs
CMFA,Oxford II Apartments,Oxford 20 LLLP,Los Angeles,Los Angeles,25-495,2025-10-10,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",32,32,100% at 80% AMI,30,4800.0,"Grant up to $10,000 (Charitable Affordable Housing)",207,,cmfa-meeting-docs
CMFA,Western Apartments,Western 19 LLLP,Los Angeles,Los Angeles,25-496,2025-10-10,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",76,76,100% at 80% AMI,30,11400.0,"Grant up to $10,000 (Charitable Affordable Housing)",1057,,cmfa-meeting-docs
CMFA,10705 Avalon Blvd Apartments,"PS 10705 Avalon Blvd, LP",Los Angeles,Los Angeles,25-512,2025-10-24,authorize,approved,California State Teachers’ Retirement System,,Housing On Merit,69,68,100% at 80% AMI,20,10200.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,7524 S. Hoover St Apartments,"PS 7518 Hoover St, LP",Los Angeles,Los Angeles,25-513,2025-10-24,authorize,approved,California State Teachers’ Retirement System,,Housing On Merit,79,78,100% at 80% AMI,20,11850.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,236 Berendo Apartments,236 Berendo Holdings OZ LP,Los Angeles,Los Angeles,25-510,2025-10-24,authorize,approved,Terra Capital Development Group LLC,,"Pacific Housing, Inc.",52,52,100% at 80% AMI,30,7800.0,"Grant up to $10,000 (Charitable Affordable Housing)","236 Berendo Street Apartments project is a proposed new construction of a 5-story,",,cmfa-meeting-docs
CMFA,4228 Western Apartments,"PS 4228 Western Ave, LP, a Delaware limited partnership",Healdsburg,Sonoma,25-511,2025-10-24,authorize,pulled,,,,,,,,,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,4228 Western Ave Apartments,"PS 4228 Western Ave, LP",Los Angeles,Los Angeles,25-531,2025-11-07,authorize,approved,California State Teachers’ Retirement System,,Housing on Merit,68,14,21% at 80% AMI,30,2500.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Kittridge Affordable Housing Apartments,"18337 Kittridge, LP",Los Angeles,Los Angeles,25-552,2025-11-21,authorize,approved,"Angeleno Investments, LP",,Las Palmas Housing & Development Corporation,42,41,100% at 80% AMI,30,6150.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,9033 Ramsgate Apartments,9033 Ramsgate LP,Los Angeles,Los Angeles,25-553,2025-11-21,authorize,approved,Six Peak Capital,,Housing on Merit,116,116,100% at 80% AMI,30,17400.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Renaissance Apartment Homes,"Post Renaissance Apartments, LP",Fresno,Fresno,25-551,2025-11-21,authorize,approved,Post Investment Group,,Foundation for Affordable Housing,278,278,100% at 80% AMI,30,41700.0,"Grant up to $10,000 (Charitable Affordable Housing)","882 square feet. The community is just three miles from California State University, Fresno",,cmfa-meeting-docs
CMFA,Montecito Apartments,"Flag VII Montecito, L.P.",Santa Clara,Santa Clara,25-557,2025-11-21,authorize,approved,Belveron Partners,,Las Palmas Housing & Development Corporation,114,114,100% at 80% AMI,30,17100.0,"Grant up to $10,000 (Charitable Affordable Housing)","114 total units including 4 studios,",,cmfa-meeting-docs
CMFA,Thornbridge Apartments,"Thornbridge Holdings, L.P.",San Jose,Santa Clara,25-556,2025-11-21,authorize,approved,Community HousingWorks,,,286,286,100% at 80% AMI,30,42900.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,The Crossings Apartments,"Ethos GP I Venture, LP",Sunnyvale,Santa Clara,25-555,2025-11-21,authorize,approved,"Ethos GP I Venture, LP",,"Pacific Housing, Inc",148,148,100% at 80% AMI,30,22200.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Hawaiian Gardens Senior Apartments,"MKCR Capital, LLC",Hawaiian Gardens,Los Angeles,,2025-11-21,preliminary_only,,"MKCR Capital, LLC",,Foundation for Affordable Housing,101,41,40% at 80% AMI,30,15150.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Coliseum Connections Transit Village Apartments,"Coliseum Transit Village One, LP",Oakland,Alameda,25-554,2025-11-21,authorize,pulled,UrbanCore Development,,"Pacific Housing, Inc.",110,22,20% at 50% AMI; 30% at 60% AMI,30,8250.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,The Hive at Ackerfield Apartments,"Ackerfield 2 LP, a Delaware limited partnership",Long Beach,Los Angeles,25-568,2025-12-12,authorize,pulled,Golden Bee Properties,,"Kingdom Development, Inc.",52,152,100% at 80% AMI,30,22800.0,"Grant up to $10,000 (Charitable Affordable Housing)",5565 Ackerfield Avenue and 5700 Ackerfield Avenue in,,cmfa-meeting-docs
CMFA,Crystal Springs Terrace Apartments,"Crystal Springs Terrace Apartments, LP, a limited partnership",San Bruno,San Mateo,25-570,2025-12-12,authorize,approved,Prometheus Real Estate Group,,Integrity Housing,482,216,45% at 80% AMI,30,32400.0,"Grant up to $10,000 (Charitable Affordable Housing)","45 new affordable units at the same site, bringing the total unit count to",,cmfa-meeting-docs
CMFA,Casa Serena Apartments,A limited partnership to be formed by Kairos Investment Management and Pacific Housing,Fremont,Alameda,25-572,2025-12-12,authorize,approved,Kairos Investment Management Company,,"Pacific Housing, Inc.",170,170,100% at 80% AMI,30,25500.0,"Grant up to $10,000 (Charitable Affordable Housing)","36000 Fremont Blvd. in Fremont, CA",,cmfa-meeting-docs
CMFA,Trailview Apartments,A limited partnership to be formed by Kairos Investment Management and Pacific Housing,Concord,Contra Costa,25-571,2025-12-12,authorize,approved,Kairos Investment Management Company,,"Pacific Housing, Inc.",120,120,100% at 80% AMI,30,18000.0,"Grant up to $10,000 (Charitable Affordable Housing)","1070 San Miguel Road in Concord, CA",,cmfa-meeting-docs
CMFA,Park Wilshire Apartments,Concord Park Wilshire LP,Los Angeles,Los Angeles,25-564,2025-12-12,authorize,approved,Concord Companies,,"Pacific Housing, Inc.",170,170,100% at 80% AMI,30,25500.0,"Grant up to $10,000 (Charitable Affordable Housing)",2424 Wilshire,,cmfa-meeting-docs
CMFA,Sir Francis Drake Villa Apartments,Concord Sir Francis Drake LP,Los Angeles,Los Angeles,25-565,2025-12-12,authorize,approved,Concord Companies,,"Pacific Housing, Inc.",61,61,100% at 80% AMI,30,9150.0,"Grant up to $10,000 (Charitable Affordable Housing)",841 Serrano,,cmfa-meeting-docs
CMFA,The Langham Apartments,Concord Langham LP,Los Angeles,Los Angeles,25-566,2025-12-12,authorize,approved,Concord Companies,,"Pacific Housing, Inc.",181,181,100% at 80% AMI,30,27150.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,The Piccadilly Apartments,Concord Piccadilly LP,Los Angeles,Los Angeles,25-567,2025-12-12,authorize,approved,Concord Companies,,"Pacific Housing, Inc.",74,74,100% at 80% AMI,30,11100.0,"Grant up to $10,000 (Charitable Affordable Housing)",682 Irolo Street in the,,cmfa-meeting-docs
CMFA,San Pedro Apartments,"7655 San Pedro, LP",Los Angeles,Los Angeles,25-562,2025-12-12,authorize,approved,"Eleos Ventures, LLC",,Step Forward Communities,40,39,100% at 80% AMI,30,6000.0,"Grant up to $10,000 (Charitable Affordable Housing)","7655 San Pedro Street in Los Angeles, CA and is a",,cmfa-meeting-docs
CMFA,Coliseum Connections Transit Village Apartments,"Coliseum Transit Village One, LP",Oakland,Alameda,25-563,2025-12-12,authorize,approved,UrbanCore Development,,"Pacific Housing, Inc.",110,22,20% at 50% AMI; 30% at 60% AMI,30,8250.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,Golden Gardens Apartments,"Golden Gardens Housing Partners, L.P.",Fresno,Fresno,,2025-12-12,preliminary_only,,"Islas Development, LLC",,"Pacific Housing, Inc.",110,110,100% at 80% AMI,30,16500.0,"Grant up to $10,000 (Charitable Affordable Housing)",99 Freeway connecting Fresno to Visalia,,cmfa-meeting-docs
CMFA,Hawaiian Terrace Senior Apartments,"RK Equity Group Limited Partnership, 12142 Oxnard Limited Partnership, HG Napa Equity Limited Partnership, HG FSA Capital Limited Partnership",Hawaiian Gardens,Los Angeles,25-569,2025-12-12,authorize,approved,"MKCR Capital, LLC",,Foundation for Affordable Housing,101,101,100% at 80% AMI,30,15150.0,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
CMFA,12th Street Apartments,12th Street 19 LLLP,Los Angeles,Los Angeles,26-004,2026-01-09,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",16,16,100% at 80% AMI,55,2500.0,"Grant up to $10,000 (Charitable Affordable Housing)",3048,,cmfa-meeting-docs
CMFA,8th Street Apartments,2933 8th LLLP,Los Angeles,Los Angeles,26-003,2026-01-09,authorize,approved,K3 Holdings,,"Kingdom Development, Inc.",40,40,100% at 80% AMI,55,6000.0,"Grant up to $10,000 (Charitable Affordable Housing)",2933,,cmfa-meeting-docs
CMFA,Alexandria II Apartments,130 Alexandria LLLP,Los Angeles,Los Angeles,26-005,2026-01-09,authorize,approved,,,,,,,,,"Grant up to $10,000 (Charitable Affordable Housing)",,,cmfa-meeting-docs
