project_id,ain,assignment_check
147,41416654,no-situs
148,5141004003,situs-match
149,5093010009,situs-match
150,5094004007,situs-match
151,5094002004,situs-match
152,7157012023,situs-match
153,7075020011,situs-match
153,7075020012,situs-match
154,019170270,no-situs
155,1303200180,no-situs
156,5011800142,no-situs
157,2262031000,situs-match
157,2280732000,situs-match
157,2262030200,situs-match
157,2262110300,situs-match
159,5540019012,situs-match
160,5080011007,situs-match
161,5077018006,situs-match
162,5518013024,situs-match
163,5521023008,situs-match
164,5468028027,situs-match
165,5094017020,situs-match
166,5521010010,situs-match
167,5544016002,situs-match
168,5518020021,situs-match
169,5094023025,situs-match
170,5503024012,situs-match
171,5537006002,situs-match
172,5503015019,situs-match
172,5503017019,situs-match
173,5094005005,situs-match
174,5094006003,situs-match
175,5502019004,situs-match
176,5469032001,situs-match
177,5517005016,situs-match
178,5446002044,situs-match
179,5080006008,situs-match
180,5501016008,situs-match
181,7157012017,situs-match
183,5236016054,situs-match
184,5126020009,situs-match
185,6048004047,situs-match
186,5032007019,situs-match
187,19826132,no-situs
188,501261015,no-situs
190,223010017,no-situs
192,03615006,no-situs
193,2311104600,situs-match
194,4313014022,situs-match
195,4261017008,situs-match
199,2126022021,situs-match
203,21900420330000,no-situs
204,2338006014,situs-match
209,2146500200,situs-match
210,11700120210000,no-situs
211,2148026046,situs-match
212,5052023039,situs-match
213,22800420320000,no-situs
214,8386006015,situs-match
215,5539028040,documented
216,4701122500,situs-match
217,5157007028,situs-match
218,5040021006,situs-match
219,5502031012,situs-match
220,5518026004,situs-match
221,5534006026,documented
222,80C49562,no-situs
223,1831016,no-situs
224,6018007001,situs-match
227,3003300180000,no-situs
228,6053006052,situs-match
230,2530007014,situs-match
231,5501017044,situs-match
232,23115127,no-situs
232,23115128,no-situs
233,5093023056,situs-match
234,5093023059,situs-match
235,5092029007,situs-match
236,4211011047,documented
237,5540025003,situs-match
57,28424015,no-situs
60,17004068,no-situs
60,17004069,no-situs
89,25404108,no-situs
95,37226016,no-situs
96,29640005,no-situs
96,29640004,no-situs
96,29640003,no-situs
136,70607013,no-situs
138,21332022,no-situs
139,68429011,no-situs
139,68428078,no-situs
140,31342061,no-situs
189,46745084,no-situs
189,46745075,no-situs
189,46745074,no-situs
189,46745073,no-situs
191,15401034,no-situs
202,01125105,no-situs
16,128101150,documented
16,128101140,mismatch
16,128101130,mismatch
16,128101120,mismatch
16,128101110,mismatch
16,128101090,mismatch
16,128101080,mismatch
16,128101070,mismatch
16,128101060,mismatch
16,128101050,documented
16,128101040,mismatch
16,128101030,mismatch
16,128101020,mismatch
16,128101010,mismatch
16,128102110,mismatch
16,128102100,mismatch
16,128102090,mismatch
16,128102080,mismatch
16,128102070,mismatch
16,128102060,mismatch
16,128102050,mismatch
16,128102040,mismatch
16,128102030,mismatch
16,128102020,mismatch
16,128102010,mismatch
16,128102210,mismatch
16,128102200,mismatch
16,128102190,mismatch
16,128102180,mismatch
16,128102170,mismatch
16,128102160,mismatch
16,128102150,mismatch
16,128102140,mismatch
16,128102130,mismatch
16,128102120,mismatch
16,128103090,mismatch
16,128103080,mismatch
16,128103070,mismatch
16,128103060,mismatch
16,128103050,mismatch
16,128103040,mismatch
