ain,apn,situs_address,situs_house_no,situs_street,use_description,year_built,roll_year,roll_land_value,roll_imp_value,roll_total_value,real_estate_exemp,homeowners_exemp,units,value_source,fetch_date
5157007028,5157-007-028,217 N PARK VIEW ST LOS ANGELES CA 90026,217,PARK VIEW ST,Single,1911,2026,938400,234600,1173000,0,0,1,la-county-api,2026-08-22
5159020009,5159-020-009,1520 W COURT ST LOS ANGELES CA 90026,1520,COURT ST,Single,1923,2026,92406,120843,213249,0,0,1,la-county-api,2026-08-22
5159020010,5159-020-010,1526 W COURT ST LOS ANGELES CA 90026,1526,COURT ST,Single,1910,2026,136403,46872,183275,0,7000,1,la-county-api,2026-08-22
5159020026,5159-020-026,,0, ,Four Units (Any Combination),1890,2026,3400000,0,3400000,0,0,2,la-county-api,2026-08-22
5160009020,5160-009-020,333 DOUGLAS ST LOS ANGELES CA 90026,333,DOUGLAS ST,Single,1906,2026,1061208,106120,1167328,0,0,1,la-county-api,2026-08-22
5180001024,5180-001-024,228 N SOTO ST LOS ANGELES CA 90033,228,SOTO ST,Five or more apartments,2024,2026,1407600,2876400,4284000,4284000,0,42,la-county-api,2026-08-22
5183001017,5183-001-017,2025 NEW JERSEY ST LOS ANGELES CA 90033,2025,NEW JERSEY ST,Five or more apartments,,2026,538509,0,538509,538509,0,0,la-county-api,2026-08-22
5183012030,5183-012-030,2025 E 4TH ST LOS ANGELES CA 90033,2025,4TH ST,Five or more apartments,1912,2026,2827755,1421595,4249350,0,0,24,la-county-api,2026-08-22
5183013023,5183-013-023,2330 E 3RD ST LOS ANGELES CA 90033,2330,3RD ST,Single,,2026,1275000,0,1275000,1275000,0,0,la-county-api,2026-08-22
5236016054,5236-016-054,4252 WHITTIER BLVD LOS ANGELES CA 90023,4252,WHITTIER BLVD,Five or more apartments,2025,2026,1766527,0,1766527,0,0,70,la-county-api,2026-08-22
5402028023,5402-028-023,801 WATERLOO ST LOS ANGELES CA 90026,801,WATERLOO ST,Five or more apartments,1917,2026,1004700,382500,1387200,0,0,5,la-county-api,2026-08-22
5409005030,5409-005-030,1457 N MAIN ST LOS ANGELES CA 90012,1457,MAIN ST,Food Processing Plants,,2026,14028320,3610800,17639120,16965307,0,0,la-county-api,2026-08-22
5446002044,5446-002-044,312 W AVENUE 37 LOS ANGELES CA 90065,312,AVENUE 37,Five or more apartments,1989,2026,7139319,7139319,14278638,0,0,40,la-county-api,2026-08-22
5468028027,5468-028-027,249 S AVENUE 55 LOS ANGELES CA 90042,249,AVENUE 55,Five or more apartments,1961,2026,8254838,3569659,11824497,0,0,40,la-county-api,2026-08-22
