project_id,county,property_name,ain,apn,situs_address,legacy_redundant,assignment_source,method,notes
48,San Mateo,Hillsdale Gardens Apartments,042122050,,3675 EDISON ST SAN MATEO,False,collaborator-sheet,,
49,Alameda,Summerwood Apartments Homes Apartments,4281649,,"21701 FOOTHILL BLVD, HAYWARD, CA 94541",False,collaborator-sheet,,
50,San Diego,Market Street Village Apartments,5351441500,,699.0 14TH ST SAN DIEGO CA 92101-7586,False,collaborator-sheet,,"Reviewed 2026-08-22: grant covers PAR 2 only (229 units, per staff report and entity name). Same-situs siblings excluded: 5351441600 (PAR 3, commercial), 5351441400 (PAR 1), 5351441700 (PAR 4, 1450 Market — separate 242-unit phase)."
51,San Diego,Creekside Villas Apartments,5473131800,,220 47TH ST SAN DIEGO CA 92102-5037,False,collaborator-sheet,,
52,Sacramento,The Carla Apartments,28501900330000,,1201.0 FULTON AVE SACRAMENTO CA 95825-7386,False,collaborator-sheet,,
53,Sacramento,Skylark Place by Trion Living Apartments,26003700120000,,6930.0 FAIR OAKS BLVD CARMICHAEL CA 95608-3369,False,collaborator-sheet,,
54,Los Angeles,Seaport Village Apartments,7157031001,7157-031-001,2697 E 56TH WAY LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)"
54,Los Angeles,Seaport Village Apartments,7157031002,7157-031-002,2687 E 56TH WAY LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)"
54,Los Angeles,Seaport Village Apartments,7157031003,7157-031-003,2677 E 56TH WAY LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)"
54,Los Angeles,Seaport Village Apartments,7157031004,7157-031-004,2667 E 56TH WAY LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)"
54,Los Angeles,Seaport Village Apartments,7157031005,7157-031-005,2657 E 56TH WAY LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)"
54,Los Angeles,Seaport Village Apartments,7157031006,7157-031-006,5679 LANGPORT AVE LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)"
54,Los Angeles,Seaport Village Apartments,7157031007,7157-031-007,5649 LANGPORT AVE LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)"
54,Los Angeles,Seaport Village Apartments,7157031008,7157-031-008,5639 LANGPORT AVE LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)"
54,Los Angeles,Seaport Village Apartments,7157031009,7157-031-009,5599 LANGPORT AVE LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)"
54,Los Angeles,Seaport Village Apartments,7157031010,7157-031-010,5579 LANGPORT AVE LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)"
54,Los Angeles,Seaport Village Apartments,7157031011,7157-031-011,5549 LANGPORT AVE LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)"
54,Los Angeles,Seaport Village Apartments,7157031012,7157-031-012,5539 LANGPORT AVE LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)"
54,Los Angeles,Seaport Village Apartments,7157031013,7157-031-013,2656 E 55TH WAY LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)"
54,Los Angeles,Seaport Village Apartments,7157031014,7157-031-014,2666 E 55TH WAY LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)"
54,Los Angeles,Seaport Village Apartments,7157031015,7157-031-015,2676 E 55TH WAY LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)"
54,Los Angeles,Seaport Village Apartments,7157031016,7157-031-016,2686 E 55TH WAY LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)"
54,Los Angeles,Seaport Village Apartments,7157031017,7157-031-017,2696 E 55TH WAY LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)"
54,Los Angeles,Seaport Village Apartments,7157031018,7157-031-018,2666 E 56TH WAY LONG BEACH CA 90805,False,collaborator-sheet,manual_verified_multi,"Multi-parcel (33); situs reviewed 2026-08-22: complex fronts 5601 N Paramount Blvd; buildings carry E 56th Way situs (Drew, portal map)"
