input_address,normalized_address,geocode_status,geocode_score,geocode_address,lat,lon,parcel_count,primary_ain,primary_apn,error,row_id,orig_cand_parcelnumb_no_formatting,orig_query_Address,orig_cand_address,orig_cand_usecode,orig_cand_usedesc,orig_cand_zoning,orig_cand_zoning_description,orig_cand_numunits,orig_cand_parvaltype,orig_cand_parval,orig_exemption value,orig_cand_owner,orig_cand_mailadd,orig_cand_saddno,orig_cand_saddstr,orig_cand_county,orig_cand_gisacre,orig_cand_ll_gisacre,orig_query_Applicant / Entity,orig_query_Property Name,orig_query_City,orig_query_County,orig_query_Grant Description,orig_query_Resolution,orig_query_Date,orig_query_Investor 1,orig_query_Investor 2,orig_query_Nonprofit Partner,orig_query_Link,orig_query_New build?,orig_query_Acquisition Price (M),orig_query_Acquisition Date,orig_query_TOTAL UNITS,orig_query_Rent Restricted,orig_PERCENT AFFORDABLE,orig_ESTIMATED VALUE OF EXEMPTION IF IT GOES THROUGH,orig_query_Built,orig_query_HAVE RECIEVED WELFARE TAX EXEMPTION,orig_query_Leasing Link,orig_query_APN No. 1,orig_query_APN No. 2,orig_query_Unnamed: 22,orig_query_Property Taxes Link,orig_query_23 Ass. Value,orig_query_25 Ass. Value,orig_query_Unnamed: 26,orig_query_City's Cut,orig_query_ED 1?,orig_query_Last Tax Amt,orig_query_Last Tax Yr,orig_query_Current Amt,orig_query_Current Yr,orig_query_address_number
236 N BERENDO ST LOS ANGELES CA 90004-4704,"236 N BERENDO ST, LOS ANGELES, CA, 90004-4704",fetched,99.3,"236 North Berendo St, Los Angeles, CA, 90004",34.075177556646366,-118.29412141517709,2,5518026006,5518-026-006,,39,5518026004,236 N BERENDO STREET LOS ANGELES CA,236 N BERENDO ST LOS ANGELES CA 90004-4704,100,Residential - Single,R3-1,Multiple Residential,1.0,GROSS ASSESSED,"$1,387,200.00",,236 BERENDO HOLDINGS OZ LP,430 S GARFIELD AVE STE 316,236.0,BERENDO,los-angeles,,0.17229,236 Berendo Holdings OZ LP,236 Berendo Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-510,10/24/2025,Terra Capital Development Group LLC,,"Pacific Housing, Inc.",,YES,,,52.0,52.0,1.0,"$1,387,200.00",,,,,,,,,,,"$7,800",,,,,,236.0
247 S ALEXANDRIA AVE LOS ANGELES CA 90004-5549,"247 S ALEXANDRIA AVE, LOS ANGELES, CA, 90004-5549",fetched,99.3,"247 South Alexandria Avenue, Los Angeles, CA, 90004",34.070178204678705,-118.29796727658947,2,5518008007,5518-008-007,,42,5518008009,247 S ALEXANDRIA AVENUE LOS ANGELES CA,247 S ALEXANDRIA AVE LOS ANGELES CA 90004-5549,500,Residential - Five or more apartments,R4-1,Multiple Residential,27.0,GROSS ASSESSED,"$4,457,073.00",,247 S ALEXANDRIA LLC,PO BOX 46342,247.0,ALEXANDRIA,los-angeles,,0.16661,247 S Alexandria LLLP,Alexandria I Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-449,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,27.0,27.0,1.0,"$4,457,073.00",,,,,,,,,,,"$4,050",,,,,,247.0
260 S MARIPOSA AVE LOS ANGELES CA 90004-5470,"260 S MARIPOSA AVE, LOS ANGELES, CA, 90004-5470",fetched,99.3,"260 South Mariposa Avenue, Los Angeles, CA, 90004",34.06988595984923,-118.29907208399496,2,5518008015,5518-008-015,,43,5518008014,260 S MARIPOSA AVENUE LOS ANGELES CA,260 S MARIPOSA AVE LOS ANGELES CA 90004-5470,500,Residential - Five or more apartments,R4-1,Multiple Residential,40.0,GROSS ASSESSED,"$8,388,848.00",,260 S MARIPOSA LLC,PO BOX 46342,260.0,MARIPOSA,los-angeles,,0.17151,260 S Mariposa LLLP,Mariposa II Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-457,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,40.0,40.0,1.0,"$8,388,848.00",,,,,,,,,,,"$6,000",,,,,,260.0
333 DOUGLAS ST LOS ANGELES CA 90026-5632,"333 DOUGLAS ST, LOS ANGELES, CA, 90026-5632",fetched,99.3,"333 Douglas St, Los Angeles, CA, 90026",34.065643289519805,-118.25773958741146,3,5160009019,5160-009-019,,47,5160009020,333 DOUGLAS ST LOS ANGELES CA,333 DOUGLAS ST LOS ANGELES CA 90026-5632,100,Residential - Single,CW,Central City West Specific Plan,1.0,GROSS ASSESSED,"$1,144,440.00",,CAR VORTEX LLC,3300 NORTHSIDE PKWY NW,333.0,DOUGLAS,los-angeles,,0.12855,"333 Douglas Street, LP, a California limited partnership",333 Douglas Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-080,2/21/2025,Visionary Development Enterprises LLC,,Housing on Merit,,,,,33.0,32.0,0.9696969697,"$1,109,760.00",,,,,,,,,,,"$4,800",,,,,,333.0
3715 W 1ST ST LOS ANGELES CA 90004-5848,"3715 W 1ST ST, LOS ANGELES, CA, 90004-5848",fetched,99.3,"3715 West 1st St, Los Angeles, CA, 90004",34.07278597463621,-118.29332998977983,1,5518027011,5518-027-011,,50,5518027010,3715 W 1ST STREET LOS ANGELES CA,3715 W 1ST ST LOS ANGELES CA 90004-5848,550,Residential - Five or more apartments,R3-1,Multiple Residential,55.0,GROSS ASSESSED,"$11,906,753.00",,3715 W 1ST STREET LLC,PO BOX 46342,3715.0,1ST,los-angeles,,0.25832,3715 W 1st Street LLLP,Seven Lions Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-462,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,55.0,55.0,1.0,"$11,906,753.00",,,,,,,,,,,"$8,250",,,,,,3715.0
38441 5TH ST W PALMDALE CA 93551-4262,"38441 5TH ST W, PALMDALE, CA, 93551-4262",fetched,100.0,"38441 5th St West, Palmdale, CA, 93551",34.58270790146418,-118.13860438906481,1,3004004037,3004-004-037,,54,3004004033,38441 5TH ST W PALMDALE CA 93551,38441 5TH ST W PALMDALE CA 93551-4262,501,Residential - Five or more apartments,RN-2,Residential Neighborhood 2,296.0,GROSS ASSESSED,"$14,702,565.00",,PALM CHAPARRAL APARTMENTS LLC,8149 SANTA MONICA BLVD PMB 298,38441.0,5TH,los-angeles,,18.7347,"Post Chaparral, LP",Chaparral Apartments,Palmdale,Los Angeles,"Grant up to $10,000",24-473,12/13/2024,Post Investment Group,,Integrity Housing,,NO,,,296.0,296.0,1.0,"$14,702,565.00",,YES,,,,,,,,,"$44,400",,,,,,38441.0
4101 SOMERSET DR LOS ANGELES CA 90008-3465,"4101 SOMERSET DR, LOS ANGELES, CA, 90008-3465",fetched,99.3,"4101 Somerset Drive, Los Angeles, CA, 90008",34.01156046568837,-118.341299779404,1,5032015003,5032-015-003,,56,5032015003,4101 SOMERSET DRIVE LOS ANGELES CA,4101 SOMERSET DR LOS ANGELES CA 90008-3465,500,Residential - Five or more apartments,C2-1-SP,Commercial Specific Plan,4.0,GROSS ASSESSED,"$3,451,872.00",,3 SIOF 4101 SOMERSET DR LLC,8629 S VERMONT AVE,4101.0,SOMERSET,los-angeles,,0.21107,"6 SIOF 4101 Somerset Dr, LP",4101 Somerset Dr. Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-282,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,36.0,35.0,0.9722222222,"$3,355,986.67",,,,,,,,,,,"$5,250",,,,,,4101.0
4129 S CENTINELA AVE LOS ANGELES CA 90066-4908,"4129 S CENTINELA AVE, LOS ANGELES, CA, 90066-4908",fetched,99.3,"4129 South Centinela Avenue, Los Angeles, CA, 90066",33.99648891965263,-118.42800248296385,3,4231018017,4231-018-017,,57,4231018020,4129 CENTINELA AVENUE LOS ANGELES CA 90066,4129 S CENTINELA AVE LOS ANGELES CA 90066-4908,1100,Commercial - Stores,C2-1,Commercial,0.0,GROSS ASSESSED,"$1,630,000.00",,PASSO CENTINELA LP,121 S PALM DR APT 301,4129.0,CENTINELA,los-angeles,,0.11423,"Passo Centinela, LP",Passo Centinela I Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-425,8/29/2025,Glimcher Capital Group,,Housing on Merit,,YES,,,72.0,71.0,0.9861111111,"$1,607,361.11",,,,,,,,,,,"$10,650",,,,,,4129.0
4209 S WESTERN AVE LOS ANGELES CA 90062-1643,"4209 S WESTERN AVE, LOS ANGELES, CA, 90062-1643",fetched,99.3,"4209 South Western Avenue, Los Angeles, CA, 90062",34.00701158921621,-118.30899216130119,2,5021028002,5021-028-002,,58,5021028002,4209 S WESTERN AVE LOS ANGELES CA 90062,4209 S WESTERN AVE LOS ANGELES CA 90062-1643,1210,Commercial - Store Combination,C2-1VL-CPIO,Commercial Very Limited Height Community Plan Implementation Overlay,25.0,GROSS ASSESSED,"$10,924,200.00",,BIF NON OZ 4209 WESTERN AVE LP,1000 E 60TH ST,4209.0,WESTERN,los-angeles,,0.14935,"BIF NON OZ 4209 WESTERN AVE, LP",4209 Western Avenue Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-253,7/19/2024,"SoLa Impact, LLC",,Housing on Merit,,,,,25.0,24.0,0.96,"$10,487,232.00",,,,,,,,,,,"$3,600",,,,,,4209.0
4228 S WESTERN AVE LOS ANGELES CA 90062-1642,"4228 S WESTERN AVE, LOS ANGELES, CA, 90062-1642",fetched,99.3,"4228 South Western Avenue, Los Angeles, CA, 90062",34.006356305210325,-118.3088601857446,1,5021009036,5021-009-036,,59,5021009036,4228 WESTERN AVENUE LOS ANGELES CA,4228 S WESTERN AVE LOS ANGELES CA 90062-1642,1100,Commercial - Stores,C2-1VL-CPIO,Commercial Very Limited Height Community Plan Implementation Overlay,0.0,GROSS ASSESSED,"$17,790,840.00",,BIF NON 4228 WESTERN AVE LP,1000 E 60TH ST,4228.0,WESTERN,los-angeles,,0.3961,"BIF NON OZ 4228 WESTERN AVE, LP",4228 Western Ave. Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-380,9/20/2024,"SoLa Impact, LLC",,Housing on Merit,,YES,,,68.0,14.0,0.2058823529,"$3,662,820.00",,,,,,,,,,,"$2,500",,,,,,4228.0
4228 S WESTERN AVE LOS ANGELES CA 90062-1642,"4228 S WESTERN AVE, LOS ANGELES, CA, 90062-1642",cached,99.3,"4228 South Western Avenue, Los Angeles, CA, 90062",34.006356305210325,-118.3088601857446,1,5021009036,5021-009-036,,60,5021009036,4228 WESTERN AVENUE LOS ANGELES CA,4228 S WESTERN AVE LOS ANGELES CA 90062-1642,1100,Commercial - Stores,C2-1VL-CPIO,Commercial Very Limited Height Community Plan Implementation Overlay,0.0,GROSS ASSESSED,"$17,790,840.00",,BIF NON 4228 WESTERN AVE LP,1000 E 60TH ST,4228.0,WESTERN,los-angeles,,0.3961,"PS 4228 Western Ave, LP, a Delaware limited partnership",4228 Western Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-511,10/24/2025,California State Teachers’ Retirement System,,Housing on Merit,,YES,,,68.0,14.0,0.2058823529,"$3,662,820.00",,,,,,,,,,,"$2,500",,,,,,4228.0
4252 S CRENSHAW BLVD LOS ANGELES CA 90008-2553,"4252 S CRENSHAW BLVD, LOS ANGELES, CA, 90008-2553",fetched,90.17,"4252 Crenshaw Boulevard, Los Angeles, CA, 90008",34.00650232776385,-118.33449414527936,1,5024017036,5024-017-036,,61,5024017036,4252 S CRENSHAW BLVD LOS ANGELES CA 90008,4252 S CRENSHAW BLVD LOS ANGELES CA 90008-2553,504,Residential - Five or more apartments,C1.5-1-SP,Limited Commercial Specific Plan,111.0,GROSS ASSESSED,"$26,914,860.00",,4252 CRENSHAW JV LLC,17141 VENTURA BLVD STE 214,4252.0,CRENSHAW,los-angeles,,0.51471,4252 Crenshaw LP,4252 Crenshaw Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-199,05/17/2024,Thrive Living,Magnum Real Estate Group,"Kingdom Development, Inc.",,,,,111.0,111.0,1.0,"$26,914,860.00",2020,YES,,5024017036,,,,"25,869,724",0,,"$16,650",,319424,2023.0,"10,883.27",2023.0,4252.0
426 S MANHATTAN PL LOS ANGELES CA 90020-4140,"426 S MANHATTAN PL, LOS ANGELES, CA, 90020-4140",fetched,99.3,"426 South Manhattan Place, Los Angeles, CA, 90020",34.066639402703004,-118.31029791370926,2,5503015017,5503-015-017,,62,5503015016,426 S MANHATTAN PLACE LOS ANGELES CA,426 S MANHATTAN PL LOS ANGELES CA 90020-4140,500,Residential - Five or more apartments,R4-1,Multiple Residential,40.0,GROSS ASSESSED,"$6,897,851.00",,426 MANHATTAN LLC,PO BOX 46342,426.0,MANHATTAN,los-angeles,,0.19843,426 Manhattan LLLP,Manhattan III Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-456,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,40.0,40.0,1.0,"$6,897,851.00",,,,,,,,,,,"$6,000",,,,,,426.0
441 W 3RD ST SAN PEDRO CA 90731-2650,"441 W 3RD ST, SAN PEDRO, CA, 90731-2650",fetched,100.0,"441 West 3rd St, San Pedro, CA, 90731",33.74142279963685,-118.28660731582497,2,7455002022,7455-002-022,,63,7455002027,441 W 3RD ST SAN PEDRO CA 90731,441 W 3RD ST SAN PEDRO CA 90731-2650,500,Residential - Five or more apartments,C2-2D-CPIO,Commercial 2 Development Limitations Community Plan Implementation Overlay,93.0,GROSS ASSESSED,"$23,202,793.00",,POST HARBOR TERRACE LP,8149 SANTA MONICA BLVD STE 298,441.0,3RD,los-angeles,,1.01174,"Post Harbor Terrace, LP",Harbor Terrace Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-286,8/9/2024,Ascenda Capital,,Integrity Housing,,,,,93.0,93.0,1.0,"$23,202,793.00",1987,YES,,,,,,,,,"$13,950",,,,,,441.0
454 S CATALINA ST LOS ANGELES CA 90020-2476,"454 S CATALINA ST, LOS ANGELES, CA, 90020-2476",fetched,99.3,"454 South Catalina St, Los Angeles, CA, 90020",34.06623199605604,-118.29534988153684,1,5502011020,5502-011-020,,65,5502011009,454 S CATALINA STREET LOS ANGELES CA,454 S CATALINA ST LOS ANGELES CA 90020-2476,500,Residential - Five or more apartments,R4-1,Multiple Residential,48.0,GROSS ASSESSED,"$7,490,880.00",,454 CATALINA LLC,PO BOX 46342,454.0,CATALINA,los-angeles,,0.21396,454 Catalina LLLP,Catalina Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-451,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,48.0,48.0,1.0,"$7,490,880.00",,,,,,,,,,,"$7,200",,,,,,454.0
4706 S CENTINELA AVE LOS ANGELES CA 90066-6818,"4706 S CENTINELA AVE, LOS ANGELES, CA, 90066-6818",fetched,99.3,"4706 South Centinela Avenue, Los Angeles, CA, 90066",33.99026215699727,-118.41987321426842,1,4221007056,4221-007-056,,66,4221007056,4706 CENTINELA AVENUE LOS ANGELES CA 90066,4706 S CENTINELA AVE LOS ANGELES CA 90066-6818,500,Residential - Five or more apartments,R3-1,Multiple Residential,0.0,GROSS ASSESSED,"$2,190,000.00",,PASSO CENTINELA 2 LP,121 S PALM DR UNIT 301,4706.0,CENTINELA,los-angeles,,0.21881,"Passo Centinela 2, LP",Passo Centinela II Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-426,8/29/2025,Glimcher Capital Group,,Housing on Merit,,YES,,,73.0,72.0,0.9863013699,"$2,160,000.00",,,,,,,,,,,"$10,800",,,,,,4706.0
515 S ST ANDREWS PL LOS ANGELES CA 90020-4470,"515 S ST ANDREWS PL, LOS ANGELES, CA, 90020-4470",fetched,99.3,"515 South Saint Andrews Place, Los Angeles, CA, 90020",34.065032640795756,-118.3116620762509,2,5504029006,5504-029-006,,68,5504029006,515 S ST ANDREWS PLACE LOS ANGELES CA 90020,515 S ST ANDREWS PL LOS ANGELES CA 90020-4470,501,Residential - Five or more apartments,R4-2,Multiple Residential,40.0,GROSS ASSESSED,"$10,012,496.00",,515 S ST ANDREWS LLC,PO BOX 46392,515.0,ST ANDREWS,los-angeles,,0.62033,515 S St. Andrews LLLP,St. Andrews I Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-463,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,40.0,40.0,1.0,"$10,012,496.00",,,,,,,,,,,"$6,000",,,,,,515.0
516 S ST ANDREWS PL LOS ANGELES CA 90020-4462,"516 S ST ANDREWS PL, LOS ANGELES, CA, 90020-4462",fetched,99.3,"516 South Saint Andrews Place, Los Angeles, CA, 90020",34.064998310873506,-118.31152987086537,1,5503017019,5503-017-019,,70,5503017013,516 S ST ANDREWS PLACE LOS ANGELES CA 90020,516 S ST ANDREWS PL LOS ANGELES CA 90020-4462,556,Residential - Five or more apartments,R4-2,Multiple Residential,59.0,GROSS ASSESSED,"$14,209,574.00",,516 ST ANDREWS LLC,PO BOX 46342,516.0,ST ANDREWS,los-angeles,,0.20688,516 St. Andrews LLLP,St. Andrews II Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-464,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,59.0,59.0,1.0,"$14,209,574.00",,,,,,,,,,,"$8,850",,,,,,516.0
520 S MARIPOSA AVE LOS ANGELES CA 90020-2859,"520 S MARIPOSA AVE, LOS ANGELES, CA, 90020-2859",fetched,99.3,"520 South Mariposa Avenue, Los Angeles, CA, 90020",34.064991326454184,-118.29914703455186,1,5502019007,5502-019-007,,71,5502019004,520 S MARIPOSA AVENUE LOS ANGELES CA,520 S MARIPOSA AVE LOS ANGELES CA 90020-2859,500,Residential - Five or more apartments,R4-2,Multiple Residential,48.0,GROSS ASSESSED,"$11,471,658.00",,520 MARIPOSA LLC,PO BOX 46342,520.0,MARIPOSA,los-angeles,,0.20657,520 Mariposa LLLP,Mariposa IV Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-494,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,48.0,48.0,1.0,"$11,471,658.00",,,,,,,,,,,"$7,200",,,,,,520.0
530 S KINGSLEY DR LOS ANGELES CA 90020-3541,"530 S KINGSLEY DR, LOS ANGELES, CA, 90020-3541",fetched,99.3,"530 South Kingsley Drive, Los Angeles, CA, 90020",34.06479544073394,-118.3027981356354,26,5503024197,5503-024-197,,72,5503024012,530 KINGSLEY DRIVE LOS ANGELES CA,530 S KINGSLEY DR LOS ANGELES CA 90020-3541,500,Residential - Five or more apartments,R4-2,Multiple Residential,44.0,GROSS ASSESSED,"$10,516,571.00",,530 KINGSLEY LLC,PO BOX 46342,530.0,KINGSLEY,los-angeles,,0.21095,530 Kingsley LLLP,Kingsley Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-491,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,45.0,45.0,1.0,"$10,516,571.00",,,,,,,,,,,"$6,750",,,,,,530.0
601 E 8TH ST AZUSA CA 91702-2546,"601 E 8TH ST, AZUSA, CA, 91702-2546",fetched,100.0,"601 East 8th St, Azusa, CA, 91702",34.13543005330856,-117.90073651832634,1,8608030071,8608-030-071,,75,8608030071,601 E 8TH ST AZUSA CA 91702,601 E 8TH ST AZUSA CA 91702-2546,501,Residential - Five or more apartments,MOD,Moderate Density Residential,112.0,GROSS ASSESSED,"$13,224,803.00",,CHOEKAE SOON TR K S CHOE TR,3785 WILSHIRE BLVD # 1811,601.0,8TH,los-angeles,,4.33207,"Azusa Gardens Owner, LP",Azusa Gardens Apartments,Azusa,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-347,8/8/2025,TriWest Multifamily,,"Kingdom Development, Inc.",,NO,,,112.0,112.0,1.0,"$13,224,803.00",,,,,,,,,,,"$16,800",,,,,,601.0
6200 S BROADWAY LOS ANGELES CA 90003-1430,"6200 S BROADWAY, LOS ANGELES, CA, 90003-1430",fetched,99.3,"6200 South Broadway, Los Angeles, CA, 90003",33.98326990002591,-118.27824322132754,0,,,,78,6005021032,6200 S BROADWAY LOS ANGELES CA,6200 S BROADWAY LOS ANGELES CA 90003-1430,100V,Commercial - Commercial,C2-1VL-CPIO,Commercial Very Limited Height Community Plan Implementation Overlay,1.0,GROSS ASSESSED,"$1,326,510.00",,BIF NON OZ 6200 BROADWAY BLK LP,1000 E 60TH ST,6200.0,BROADWAY,los-angeles,,0.25488,"BIF NON OZ 6200 BROADWAY BLK, LP",6200 S. Broadway Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-379,9/20/2024,"SoLa Impact, LLC",,Housing on Merit,,YES,,,66.0,51.0,0.7727272727,"$1,025,030.45",,,,,,,,,,,"$7,950",,,,,,6200.0
6401 AVALON BLVD LOS ANGELES CA 90003-1661,"6401 AVALON BLVD, LOS ANGELES, CA, 90003-1661",fetched,99.3,"6401 Avalon Boulevard, Los Angeles, CA, 90003",33.98151953817749,-118.26525212804002,1,6006018001,6006-018-001,,79,6006018001,6401 S AVALON BLVD LOS ANGELES CA,6401 AVALON BLVD LOS ANGELES CA 90003-1661,100V,Commercial - Commercial,C2-1VL-CPIO,Commercial Very Limited Height Community Plan Implementation Overlay,0.0,GROSS ASSESSED,"$426,520.00",,6 SIOF 6401 S AVALON BLVD LLC,8629 S VERMONT AVE,6401.0,AVALON,los-angeles,,0.16385,"6 SIOF 6401 S Avalon Blvd, LP",6401 S. Avalon Blvd. Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-285,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,28.0,27.0,0.9642857143,"$411,287.14",,,,,,,,,,,"$4,050",,,,,,6401.0
6762 HAWTHORN AVE LOS ANGELES CA 90028-2800,"6762 HAWTHORN AVE, LOS ANGELES, CA, 90028-2800",fetched,99.3,"6762 Hawthorn Avenue, Los Angeles, CA, 90028",34.10060042337355,-118.33805461767928,2,5547012009,5547-012-009,,81,5547013021,6762 HAWTHORN AVE LOS ANGELES CA 90028,6762 HAWTHORN AVE LOS ANGELES CA 90028-2800,500,Residential - Five or more apartments,C4-2D,Commercial 2 Development Limitations,69.0,GROSS ASSESSED,"$8,706,757.00",,OODB2 LLC,9049 20TH AVE SW,6762.0,HAWTHORN,los-angeles,,0.17031,"OODB2, LP",Premiere Hollywood Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-178,04/26/2024,Housing Diversity Corporation,,PEP Housing,,,,,69.0,69.0,1.0,"$8,706,757.00",2023,,,5547013021,,,,"8,368,664",,,"$10,350",,,,,,6762.0
685 W 4TH ST LOS ANGELES CA 90731,"685 W 4TH ST, LOS ANGELES, CA, 90731",fetched,100.0,"685 West 4th St, Los Angeles, CA, 90731",33.740546554453864,-118.29196661126579,2,7451026002,7451-026-002,,82,7451026002,685 W 4TH ST LOS ANGELES CA,685 W 4TH ST LOS ANGELES CA 90731,500,Residential - Five or more apartments,C2-1VL-CPIO,Commercial Very Limited Height Community Plan Implementation Overlay,28.0,GROSS ASSESSED,"$3,002,337.00",,2 SIOF 685 FOURTH ST LLC,8629 S VERMONT AVE,685.0,4TH,los-angeles,,0.11467,"2 SIOF 685 W Fourth St, LP, Delaware limited partnership",685 W. 4th St Apartments,Los Angeles,Los Angeles,"Grant up to $10,000 (Charitable Affordable Housing)",25-289,6/27/2025,"SoLa Impact, LLC",,Housing on Merit,,YES,,,28.0,27.0,0.9642857143,"$2,895,110.68",,,,,,,,,,,"$4,050",,,,,,685.0
727 S MARIPOSA AVE LOS ANGELES CA 90005-2069,"727 S MARIPOSA AVE, LOS ANGELES, CA, 90005-2069",fetched,99.3,"727 South Mariposa Avenue, Los Angeles, CA, 90005",34.05884159997728,-118.29879155147341,2,5094005005,5094-005-005,,85,5094005005,727 S MARIPOSA AVENUE LOS ANGELES CA,727 S MARIPOSA AVE LOS ANGELES CA 90005-2069,500,Residential - Five or more apartments,R5-2,Multiple Residential,40.0,GROSS ASSESSED,"$7,089,929.00",,MARIPOSA 20 LLC,345 N MAPLE DR,727.0,MARIPOSA,los-angeles,,0.18585,Mariposa 20 LLLP,Mariposa I Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-492,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,40.0,40.0,1.0,"$7,089,929.00",,,,,,,,,,,"$6,000",,,,,,727.0
739 S NORMANDIE AVE LOS ANGELES CA 90005-2270,"739 S AVE RMANDIE, LOS ANGELES, CA 90005-2270",fetched,99.3,"739 South Normandie Avenue, Los Angeles, CA, 90005",34.05893481441237,-118.29988245003041,1,5094004005,5094-004-005,,86,5094004004,739 S NORMANDIE AVENUE LOS ANGELES CA,739 S NORMANDIE AVE LOS ANGELES CA 90005-2270,500,Residential - Five or more apartments,R5-2,Multiple Residential,32.0,GROSS ASSESSED,"$4,993,920.00",,739 NORMANDIE LLC,PO BOX 46342,739.0,NORMANDIE,los-angeles,,0.1728,739 Normandie LLLP,Normandie Apartments,Los Angeles,Los Angeles,"Approve application for proposed grant up to $10,000",25-458,9/19/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,32.0,32.0,1.0,"$4,993,920.00",,,,,,,,,,,"$4,800",,,,,,739.0
750 S MARIPOSA AVE LOS ANGELES CA 90005-2039,"750 S MARIPOSA AVE, LOS ANGELES, CA, 90005-2039",fetched,99.3,"750 South Mariposa Avenue, Los Angeles, CA, 90005",34.05871168543741,-118.2986590987692,2,5094006005,5094-006-005,,87,5094006003,750-752 S MARIPOSA AVENUE LOS ANGELES CA,750 S MARIPOSA AVE LOS ANGELES CA 90005-2039,500,Residential - Five or more apartments,R5-2,Multiple Residential,23.0,GROSS ASSESSED,"$6,547,652.00",,750 MARIPOSA LLC,PO BOX 46342,750.0,MARIPOSA,los-angeles,,0.18561,750 Mariposa LLLP,Mariposa III Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",25-493,10/10/2025,K3 Holdings,,"Kingdom Development, Inc.",,NO,,,23.0,23.0,1.0,"$6,547,652.00",,,,,,,,,,,"$3,450",,,,,,750.0
7518 AGNEW AVE LOS ANGELES CA 90045-1006,"7518 AGNEW AVE, LOS ANGELES, CA, 90045-1006",fetched,99.3,"7518 Agnew Avenue, Los Angeles, CA, 90045",33.97252880263887,-118.4092536218237,2,4110025038,4110-025-038,,88,4110025040,7518 S HOOVER LOS ANGELES CA 90044,7518 AGNEW AVE LOS ANGELES CA 90045-1006,101,Residential - Single,R1V2,One Family Residential Variable Mass,1.0,GROSS ASSESSED,"$2,545,586.00",,EVANSFAITH R TR FAITH R EVANS FAMILY TR,7518 AGNEW AVE,7518.0,AGNEW,los-angeles,,0.14177,"BIF NON OZ 7518 S Hoover St, LP",7518 Hoover St. Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",24-041,02/02/2024,"SoLa Impact, LLC",Black Impact Group,Housing on Merit,,,,,79.0,48.0,0.6075949367,"$1,546,685.16",,,,,,,,,,,"$11,850",,,,,,7518.0
