Project ID,Property Name,Applicant / Entity,City,County,Agency,Grant Description,Resolution,Date,DEAD?,Investor 1,Investor 2,Nonprofit Partner,Stale,Total Unit Count,Restricted Unit Count,Restricted Ratio,Address,City's Cut,Parcel Identified,Welfare Exemption On 2025 Roll,Total Roll Value,Confirmed Exemption,Best Estimate Exemption,Confirmed or Best Estimate Exemption,Tax Rate,Confirmed Annual Revenue Loss,Best Estimate Annual Revenue Loss,Link,Leasing Link,New build?,Built,Acquisition Price (M),Acquisition Date,Regulatory Term,Closing Fee,CMFA Annual Fee,YEARS IN SERVICE,ANNUAL FEES PAID,SCC FILED?
51,Creekside Villas Apartments,"Post Creekside, LP",San Diego,San Diego,CMFA,"Grant up to $10,000",24-429,2024-11-01,True,Post Investment Group,,Integrity Housing,False,145,144,,"220 47th St, San Diego, CA 92102",21600,True,False,5832864,0,5213373.617,5213373.617,0.0125114,0,65226.60267,,,NO,1984,,,,87000,21750,1,21750,
53,Skylark Place by Trion Living Apartments,"Trion Skylark Properties, LP",Unincorporated,Sacramento,CMFA,"Grant up to $10,000",24-430,2024-11-01,True,"Trion Properties, Inc.",,Integrity Housing,False,198,198,,"6930 Fair Oaks Blvd, Carmichael, CA 95608",29700,True,False,12145525,0,10930972.5,10930972.5,0.011873,0,129783.4365,,,NO,1973/1991,,,,118800,29700,1,29700,
54,Seaport Village Apartments,"Avanath Seaport, LP",Long Beach,Los Angeles,CMFA,"Grant up to $10,000",24-442,2024-11-22,,Avanath Capital,,"Pacific Housing, Inc.",False,356,144,0.404494382,"5601 North Paramount Boulevard, Long Beach, Los Angeles",21600,True,True,94978083,41642082,34576290.89,41642082,0.01206499,502411.3029,502411.3029,,,NO,,,,,213600,53400,1,53400,True
55,1457 Main Street Apartments,1457 Main Owner LP,Los Angeles,Los Angeles,CMFA,,24-443,2024-11-22,,Thrive Living,"Open House Group Co., Ltd","Kingdom Development, Inc.",False,377,151,0.400530504,"1457 N Main St, Los Angeles, CA 90012",22650,True,True,17293255,16976485,6233828.527,16976485,0.0118738,201575.3876,201575.3876,,,YES,,,,,226200,56550,0,0,True
56,Viewpoint Apartments,651 Addison LLC,Berkeley,Alameda,CMFA,"Grant up to $10,000",24-470,2024-12-13,,Bridge Housing,,Bridge Housing,False,94,71,,"651 Addison St, Berkeley, CA 94710",10650,True,False,31838150,0,21643167.93,21643167.93,0.012323,0,266708.7583,,https://bridgehousing.com/properties/viewpoint/,,,,,,56400,14100,1,14100,
59,Ventana Residences Apartments,99 Ocean Avenue LP,San Francisco,San Francisco,CMFA,"Grant up to $10,000",24-471,2024-12-13,,"Presidio Bay Ventures, LLC",,"Pacific Housing, Inc",False,193,100,,"99 OCEAN AVE SAN FRANCISCO, CA 94112-2548",15000,True,False,82453101,0,38449632.59,38449632.59,0.012,0,461395.5911,,,YES,2023,,,,115800,28950,0,0,True
57,SoFi Los Gatos Creek Apartments,BWF III Ethos CA Los Gatos Creek LP,San Jose,Santa Clara,CMFA,"Grant up to $10,000",24-472,2024-12-13,,Ethos Real Estate,Bridge Investment Group,"Casa Major, Inc.",False,193,193,,"2130 Southwest Expy, San Jose, CA 95126",28950,True,True,36559633,18850147,32903669.7,18850147,0.012401,233760.6729,233760.6729,https://www.ethos-re.com/news/sofi-at-los-gatos-creek-adam-siegman-comments-on-affordable-housing,https://www.losgatoslandingapts.com/,NO,1969,61.1,2024-12-31,,115800,28950,1,28950,True
58,Chaparral Apartments,"Post Chaparral, LP",Palmdale,Los Angeles,CMFA,"Grant up to $10,000",24-473,2024-12-13,,Post Investment Group,,Integrity Housing,False,296,296,1,"38441 5th St W, Palmdale, CA 93551",44400,True,True,14702565,4371074,13232308.5,4371074,0.01233086,53899.10154,53899.10154,,,NO,,,,,177600,44400,1,44400,True
60,HARKEN APARTMENTS,Prometheus Real Estate Group,Los Altos,Santa Clara,CMFA,,25-065,2025-01-31,,"Prometheus Real Estate Group, Inc.",,Hearthstone Housing Foundation,False,196,29,,"5150 El Camino Real, Los Altos, CA",4350,True,False,50937984,0,6783068.278,6783068.278,0.011268,0,76431.61335,,,YES,,,,,117600,29400,0,0,
64,333 Douglas Apartments,"333 Douglas Street, LP, a California limited partnership",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-080,2025-02-21,True,Visionary Development Enterprises LLC,,Housing on Merit,False,33,32,0.9696969697,"333 Douglas St, Los Angeles, CA",4800,True,False,1144440,0,998784,998784,0.0118738,0,11859.36146,,,,,,,,19800,4950,1,4950,
61,11422 Broadway Apartments,"BIF IMPACT OZ 1100 BROADWAY BLK, LP",Los Angeles,Los Angeles,CMFA,,25-081,2025-02-21,True,"SoLa Impact, LLC",,Housing on Merit,False,166,165,0.9939759036,"11422 S Broadway, Los Angeles, CA 90061",24750,True,False,2850591,0,2550076.889,2550076.889,0.0118738,0,30279.10296,,,YES,,,,,99600,24900,0,0,
63,The Enclave Apartments,"ENCLAVE LP, a California limited partnership",Walnut Creek,Contra Costa,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-082,2025-02-21,,Tesseract Capital Group,,Housing on Merit,False,32,32,,"3081 N Main St, Walnut Creek, CA 94597",4800,True,False,10616112,0,9554500.8,9554500.8,0.011015,0,105242.8263,,,,,,,,19200,4800,1,4800,True
62,Mansfield Micro Apartments,"2533 Mansfield Owner, L.P., a California limited partnership",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-084,2025-02-21,,"CIM Group, LLC",,"Pacific Housing, Inc.",False,116,115,0.9913793103,"2533 S Mansfield Ave, Los Angeles, CA 90016",17250,True,False,2065837,0,1843225.254,1843225.254,0.0118738,0,21886.08802,,,YES,,,,,69600,17400,0,0,True
67,Coronado Palms Apartments,"Coronado Owner, LP",Anaheim,Orange,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-102,2025-03-14,,TriWest Multifamily,,"Kingdom Development, Inc.",False,169,68,,"1250 S. Euclid St., Anaheim, CA",10200,True,False,60690000,0,21977680.47,21977680.47,0.011372,0,249930.1823,,,,,,,,101400,25350,1,25350,True
65,Casa La Palma Apartments,"7777 Valley View, L.P., a California limited partnership",La Palma,Orange,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-103,2025-03-14,,Mariman & Co.,,AOF/Pacific Affordable Housing Corporation,False,272,270,,"7777 Valley View Street, La Palma, CA",40500,True,True,53482929,53482929,47780704.95,53482929,0.011162,596976.4535,596976.4535,,,NO,1978,,,,163200,40800,1,40800,True
66,The Eaves Apartments,"920 Gramercy Upwell, LP, a Delaware limited partnership",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-104,2025-03-14,True,Treehouse Community,,Butterfly’s Haven,False,13,13,1,"920 S. Gramercy Place, Los Angeles, CA",2500,True,False,7802661,0,7022394.9,7022394.9,0.0118738,0,83382.51256,,,,,,,,10000,4000,1,4000,
69,Lindley Parc Apartments,10535 Lindley Affordable L.P.,Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-116,2025-04-04,True,Taylor Equities,,Housing on Merit,False,50,50,1,"10535 Lindley Ave, Granada Hills, CA 91326",4800,True,False,14877720,0,13389948,13389948,0.0118738,0,158989.5646,,,,,,,,30000,7500,1,7500,
68,Candlewood North Apartments,"Post Candlewood North, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-117,2025-04-04,,Post Investment Group,,Integrity Housing,False,189,189,1,"9830 Reseda Blvd, Northridge, CA 91324",28350,True,False,17292725,0,15563452.5,15563452.5,0.0118738,0,184797.3223,,,NO,1964,,,,113400,28350,1,28350,True
70,Terrace View Apartments,"SFF 4, LLC",Daly City,San Mateo,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-144,2025-04-25,,The Sobrato Organization,,"Pacific Housing, Inc.",False,122,,,"26 Terrace View Ct, Daly City, CA 94015",18300,True,False,34811784,0,0,0,0.011602,0,0,,,,,,,,73200,18300,1,18300,
71,SoFi Redwood Park Apartments,"SFF 3, LLC",Redwood City,San Mateo,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-145,2025-04-25,,The Sobrato Organization,,"Pacific Housing, Inc.",False,112,112,,"1212 Whipple Ave, Redwood City, CA 94062",16800,True,False,25240000,0,22716000,22716000,0.010941,0,248535.756,,https://www.theheltsley.com/,,,,2024-12-05,,67200,16800,1,16800,
72,Waterbend Apartments,AXIS FEE OWNER LP,San Francisco,San Francisco,CMFA,,25-219,2025-04-25,,TruAmerica Multifamily LLC,Angeleno Investments LP,Affordable Housing Access,False,136,136,,"5880 3rd St, San Francisco, CA 94124",20400,True,False,73513835,0,66162451.5,66162451.5,0.012,0,793949.418,,,NO,2016,,,,81600,20400,1,20400,
73,1540 W Court Apartments,"1540 W. Court Street, LP",Los Angeles,Los Angeles,CMFA,,25-207,2025-05-16,,Visionary Development Enterprises LLC,,Housing on Merit,False,189,148,0.7830687831,"1540 W Court St, Los Angeles, CA 90026",22200,True,False,3138751,0,2212072.133,2212072.133,0.0118738,0,26265.7021,,,YES,,,,,113400,28350,0,0,True
75,Palmilla Apartments,BWF III Ethos CA Palmilla LP,San Diego,San Diego,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-208,2025-05-16,,Ethos Real Estate,Bridge Investment Group,"Casa Major, Inc.",False,203,203,,"5474 Reservoir Dr, San Diego, CA 92120",30450,True,False,30350548,0,27315493.2,27315493.2,0.0125114,0,341755.0616,,,NO,,,,,121800,30450,1,30450,
74,Sol Haus Apartments,"Sol Haus Owner LP, California Limited Partnership",San Diego,San Diego,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-209,2025-05-16,,CONAM Management Corporation,,Las Palmas Housing & Development Corporation,False,147,145,,"5040 Logan Avenue, San Diego, CA 92113",22050,True,False,2804259,0,2489495.235,2489495.235,0.0125114,0,31147.07068,,,YES,,,,,88200,22050,0,0,True
76,1451 W. MLK Boulevard Apartments,1451 W. MLK Boulevard Apartments,Los Angeles,Los Angeles,CMFA,,Proposed,2025-06-06,,"SoLa Impact, LLC",,Housing on Merit,False,50,49,0.98,"1451 W. MLK Blvd, Los Angeles, CA",7350,True,False,1569525,0,1384321.05,1384321.05,0.0118738,0,16437.15128,,,YES,,,,,30000,7500,0,0,
78,Bella Vista at Hilltop Apartments,"Bella Vista Owner, LP",Richmond,Contra Costa,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-281,2025-06-27,,Kennedy Wilson,Vintage Housing Holdings,Hearthstone Housing Foundation,False,1008,1008,,"3400 Richmond Pkwy, Richmond, CA 94806",98100,True,False,222047798,0,199843018.2,199843018.2,0.014192,0,2836172.114,https://www.cmfa-ca.com/wp-content/uploads/2025/01/CMFA-Staff-Reports-01-10-25.pdf,,NO,,,,,604800,151200,1,151200,True
80,4101 Somerset Dr. Apartments,"6 SIOF 4101 Somerset Dr, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000 (Charitable Affordable Housing)",25-282,2025-06-27,,"SoLa Impact, LLC",,Housing on Merit,False,36,35,0.9722222222,"4101 Somerset Drive, Los Angeles, CA",5250,True,False,3451872,0,3020388,3020388,0.0118738,0,35863.48303,,,YES,,,,,21600,5400,0,0,
