Applicant / Entity,Property Name,City,County,Grant Description,Agency,Resolution,Date,Investor 1,Investor 2,Nonprofit Partner,Link,New build?,Acquisition Price (M),Acquisition Date,TOTAL UNITS,Rent Restricted,Built,Address,HAVE RECIEVED WELFARE TAX EXEMPTION,Leasing Link,APN No. 1,APN No. 2,,Property Taxes Link,23 Ass. Value,25 Ass. Value,,City's Cut,ED 1?,Last Tax Amt,Last Tax Yr,Current Amt,Current Yr
"BIF NON OZ 6200 BROADWAY BLK, LP",6200 S. Broadway Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,24-379,9/20/2024,"SoLa Impact, LLC",,Housing on Merit,,YES,,,66,51,,"6200 S Broadway, Los Angeles, CA",,,,,,,,,,"$7,950",,,,,
"BIF NON OZ 4228 WESTERN AVE, LP",4228 Western Ave. Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,24-380,9/20/2024,"SoLa Impact, LLC",,Housing on Merit,,YES,,,68,14,,"4228 Western Avenue, Los Angeles, CA",,,,,,,,,,"$2,500",,,,,
"IF OZ 4300 S VERMONT AVE BLK LP, a Delaware limited partnership",4327 S. Vermont Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,24-381,9/20/2024,"SoLa Impact, LLC",,Housing on Merit,,YES,,,188,111,,"4327 S Vermont, Los Angeles, CA",,,,,,,,,,"$16,650",,,,,
"BIF NON OZ 2000 Imperial Hwy Blk, LP",2023 Imperial Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,24-382,9/20/2024,"SoLa Impact, LLC",,Housing on Merit,,YES,,,90,71,,"110 Imperial Highway, Los Angeles, CA",,,,,,,,,,"$10,650",,,,,
"400 Meridian, LP, a California limited partnership",Meridian Apartments,San Rafael,Marin,"Grant up to $10,000",CMFA,24-384,9/20/2024,Tesseract Capital Group,,Housing on Merit,,NO,,,99,99,,"400 Canal St, San Rafael, CA 94901",,,,,,,,,,"$14,850",,,,,
"EV 228 Soto, LP, a California limited partnership",Soto Apartments,Los Angeles,Los Angeles,"Grant up to $10,000",CMFA,24-413,10/11/2024,"Eleos Ventures, LLC",,Step Forward Comminities,,YES,,,41,40,,"228 N Soto Street, Los Angeles, CA",,,,,,,,,,"$6,000",,,,,
"BWF II ETHOS CA HORIZON LP, a Delaware limited partnership",Horizon Apartments,Santa Ana,Orange,"Grant up to $10,000",CMFA,24-410,10/11/2024,Ethos Real Estate,Bridge Investment Group,Affordable Housing Access Inc,,NO,,,406,406,,"2414 N Tustin Ave, Santa Ana, CA 92705",,,,,,,,,,"$60,900",,,,,
"4752 Main, LP",4752 Main Street Apartments,Los Angeles,Los Angeles,,CMFA,24-399,10/11/2024,"Eleos Ventures, LLC",,Step Forward Communities,,YES,,,53,53,,"4752 Main St, Los Angeles, CA 90037",,,,,,,,,,,,,,,
"6171 Mission Gorge Owner LP, a California limited partnership",6171 Mission Gorge Apartments,San Diego,San Diego,"Grant up to $10,000",CMFA,24-412,10/11/2024,Impact Housing,,Las Palmas Housing & Development Corporation,,YES,,,488,483,,"6171 Mission Gorge Rd, San Diego, CA 92120",,,,,,,,,,"$72,450",,,,,
Hillsdale Property LP,Hillsdale Gardens Apartments,San Mateo,San Mateo,"Grant up to $10,000",CMFA,24-411,10/11/2024,Vistria Group,Ethos Real Estate,"Pacific Housing, Inc.",,NO,,,697,697,,"3500 Edison St, San Mateo, CA 94403",,,039-481-250,,,,,,,"$74,775",,"$573,184.17",2024,"$501,947.98",2025
