project_id,county,property,ain,legacy_ain,legacy_redundant,apn,situs_address,situs_city,situs_zip,input_address,property_name,tract_number,method,use_description,use_type,use_code,year_built,units,bedrooms,bathrooms,sqft,roll_year,roll_land_value,roll_imp_value,roll_total_value,roll_land_base_year,roll_imp_base_year,real_estate_exemp,tax_rate_area,tax_rate_city,latitude,longitude,legal_description,notes,CMFA Total Units,CMFA Restricted,Total Tax Rate
20,Los Angeles,Pinetree Terrace Apartments,2102015045,,False,2102-015-045,7940 RESEDA BLVD LOS ANGELES CA 91335,LOS ANGELES CA,91335-1927,"7940 Reseda Boulevard, Reseda, CA",Pinetree Terrace Apartments,,manual_verified,Five or more apartments,Residential,501,1978,58,8,8,63362,2025,7140000,10812000,17952000,2024,2024,15786989,8852,LOS ANGELES,34.2151477,-118.53553608,*TR=32921 LOT    1,,58,58,0.0118738
21,Los Angeles,Windmere Court Apartments,2119001222,,False,2119-001-222,18325 SATICOY ST LOS ANGELES CA 91335,LOS ANGELES CA,91335-2965,"18325 Saticoy St, Reseda, CA 91335",Windmere Court Apartments,,manual_verified,Five or more apartments,Residential,501,1989,52,99,99,53440,2025,7140000,9486000,16626000,2024,2024,16306781,8852,LOS ANGELES,34.20888824,-118.53262522,TR=9035 POR OF LOT 32 AND ALL OF LOT 31,,52,52,0.0118738
22,Los Angeles,Seville Gardens Apartments,6320011041,,False,6320-011-041,2701 RANDOLPH ST HUNTINGTON PARK CA 90255,HUNTINGTON PARK CA,90255-3076,"2701 Randolph St., Huntington Park, CA",Seville Gardens Apartments,,manual_verified,Five or more apartments,Residential,550,1989,255,0,0,121632,2025,6885000,27540000,34425000,2024,2024,31825913,594,HUNTINGTON PARK,33.98550033,-118.22198948,TR=45269 LOT 1,,225,225,0.01385148
23,Los Angeles,Harbour Residences Apartments,7418014021,,False,7418-014-021,445 N AVALON BLVD LOS ANGELES CA 90744,LOS ANGELES CA,90744-5803,"445 N. Avalon Boulevard, Los Angeles, CA",Harbour Residences Apartments,,manual_verified,Stores,Commercial,1100,,,,,,2025,3203998,5695680,8899678,2021,2024,0,400,LOS ANGELES,33.77535388,-118.26245313,WILMINGTON RANGE 5 EX OF ST LOT 2 AND ALL OF LOT 6 BLK 12,,74,74,0.0118738
24,Los Angeles,4209 Western Avenue Apartments,5021028002,,False,5021-028-002,4209 S WESTERN AVE LOS ANGELES CA 90062,LOS ANGELES CA,90062-1643,"4209 S Western Ave, Los Angeles, CA 90062",4209 Western Avenue Apartments,,manual_verified,Store Combination,Commercial,1210,2022,25,11,25,21557,2025,6242400,4681800,10924200,2023,2023,10903361,68,LOS ANGELES,34.00696453,-118.30925999,VERMONT AVE SQUARE LOT    2 BLK   65,,25,24,0.0118738
25,Los Angeles,1130 Martin Luther King Jr. Blvd Apartments,5020017007,,False,5020-017-007,1130 W MARTIN LUTHER KING JR BLVD LOS ANGELES CA 90037,LOS ANGELES CA,90037-1810,"1130 W Martin Luther King Jr Blvd, Los Angeles, CA 90037",1130 Martin Luther King Jr. Blvd Apartments,,manual_verified,Store Combination,Commercial,1210,2021,29,22,29,15451,2025,9155520,3641400,12796920,2023,2023,12776081,212,LOS ANGELES,34.01052374,-118.29526244,WEST PARK TRACT NO 2 LOT   10 BLK    G,,29,28,0.0118738
26,Los Angeles,Harbor Terrace Apartments,7455002027,,False,7455-002-027,441 W 3RD ST LOS ANGELES CA 90731,LOS ANGELES CA,90731-2650,"441 W 3rd St, San Pedro, CA 90731",Harbor Terrace Apartments,,manual_verified,Five or more apartments,Residential,500,1987,93,78,93,55726,2025,2860000,21390000,24250000,2025,2025,16429375,13245,LOS ANGELES,33.74101739,-118.28695419,LOT A P M 179-44-45 AND E 130 FT OF LOT 2 BLK 4 TOWN OF SAN PEDRO,,93,93,0.0118738
27,Los Angeles,Santa Monica Portfolio A Apartments,4291019007,,False,4291-019-007,1428 6TH ST SANTA MONICA CA 90401,SANTA MONICA CA,90401-2592,"1422-1428 6th St., Santa Monica, CA",Santa Monica Portfolio A Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1998,24,30,36,20272,2025,2850000,5670000,8520000,2025,2025,1937646,8004,SANTA MONICA,34.01710974,-118.49280636,SANTA MON1CA LOT    F BLK  169,Multi-parcel (2),52,32,0.01203757
27,Los Angeles,Santa Monica Portfolio A Apartments,4291019006,,False,4291-019-006,1422 6TH ST SANTA MONICA CA 90401,SANTA MONICA CA,90401-2542,"1422-1428 6th St., Santa Monica, CA",Santa Monica Portfolio A Apartments,,manual_verified_multi,Store Combination,Commercial,1210,1997,28,26,28,20618,2025,2850000,5800000,8650000,2025,2025,2125161,8004,SANTA MONICA,34.01720822,-118.49292135,SANTA MON1CA LOT    E BLK  169,Multi-parcel (2),52,32,0.01203757
28,Los Angeles,Santa Monica Portfolio B Apartments,4291020005,,False,4291-020-005,1422 7TH ST SANTA MONICA CA 90401,SANTA MONICA CA,90401-2653,"1422-1432 7th, Santa Monica, CA",Santa Monica Portfolio B Apartments,,manual_verified_multi,Five or more apartments,Residential,500,1996,28,28,28,21437,2025,3000000,4650000,7650000,2025,2025,3491875,8004,SANTA MONICA,34.01797475,-118.4919757,SANTA MON1CA LOT    E BLK  168,Multi-parcel (3),72,49,0.01203757
