Project ID,Property Name,Applicant / Entity,City,County,Agency,Grant Description,Resolution,Date,Investor 1,Investor 2,Nonprofit Partner,Stale,Total Unit Count,Restricted Unit Count,Restricted Ratio,Address,City's Cut,Parcel Identified,Welfare Exemption On 2025 Roll,Total Roll Value,Confirmed Exemption,Best Estimate Exemption,Confirmed or Best Estimate Exemption,Tax Rate,Confirmed Annual Revenue Loss,Best Estimate Annual Revenue Loss,Link,Leasing Link,New build?,Built,Acquisition Price (M),Acquisition Date
40,4228 Western Ave. Apartments,"BIF NON OZ 4228 WESTERN AVE, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-380,9/20/2024,"SoLa Impact, LLC",,Housing on Merit,FALSE,68,14,20.59%,"4228 Western Avenue, Los Angeles, CA","$2,500",TRUE,FALSE,"$17,790,840.00",$0.00,"$3,296,538.00","$3,296,538.00",1.1874%,$0.00,"$39,142.43",,,YES,,,
41,4327 S. Vermont Apartments,"IF OZ 4300 S VERMONT AVE BLK LP, a Delaware limited partnership",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-381,9/20/2024,"SoLa Impact, LLC",,Housing on Merit,FALSE,188,111,59.04%,"4327 S Vermont, Los Angeles, CA","$16,650",TRUE,FALSE,"$3,719,558.00",$0.00,"$1,976,509.81","$1,976,509.81",1.1874%,$0.00,"$23,468.68",,,YES,,,
42,2023 Imperial Apartments,"BIF NON OZ 2000 Imperial Hwy Blk, LP",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-382,9/20/2024,"SoLa Impact, LLC",,Housing on Merit,FALSE,90,71,78.89%,"110 Imperial Highway, Los Angeles, CA","$10,650",TRUE,FALSE,"$429,364.00",$0.00,"$304,848.44","$304,848.44",1.1874%,$0.00,"$3,619.71",,,YES,,,
43,Meridian Apartments,"400 Meridian, LP, a California limited partnership",San Rafael,Marin,CMFA,"Grant up to $10,000",24-384,9/20/2024,Tesseract Capital Group,,Housing on Merit,FALSE,99,99,,"400 Canal St, San Rafael, CA 94901","$14,850",TRUE,FALSE,"$33,879,341.00",$0.00,"$30,491,406.90","$30,491,406.90",1.08%,$0.00,"$330,526.85",,,NO,,,
44,Soto Apartments,"EV 228 Soto, LP, a California limited partnership",Los Angeles,Los Angeles,CMFA,"Grant up to $10,000",24-413,10/11/2024,"Eleos Ventures, LLC",,Step Forward Comminities,FALSE,41,40,97.56%,"228 N Soto Street, Los Angeles, CA","$6,000",TRUE,FALSE,"$2,509,100.00",$0.00,"$2,203,112.20","$2,203,112.20",1.1874%,$0.00,"$26,159.31",,,YES,,,
45,Horizon Apartments,"BWF II ETHOS CA HORIZON LP, a Delaware limited partnership",Santa Ana,Orange,CMFA,"Grant up to $10,000",24-410,10/11/2024,Ethos Real Estate,Bridge Investment Group,Affordable Housing Access Inc,FALSE,406,406,,"2414 N Tustin Ave, Santa Ana, CA 92705","$60,900",TRUE,FALSE,"$25,500,000.00",$0.00,"$22,950,000.00","$22,950,000.00",1.12%,$0.00,"$256,925.25",,,NO,,,
46,4752 Main Street Apartments,"4752 Main, LP",Los Angeles,Los Angeles,CMFA,,24-399,10/11/2024,"Eleos Ventures, LLC",,Step Forward Communities,FALSE,53,53,100.00%,"4752 Main St, Los Angeles, CA 90037",,TRUE,FALSE,"$1,298,913.00",$0.00,"$1,169,021.70","$1,169,021.70",1.1874%,$0.00,"$13,880.73",,,YES,,,
47,6171 Mission Gorge Apartments,"6171 Mission Gorge Owner LP, a California limited partnership",San Diego,San Diego,CMFA,"Grant up to $10,000",24-412,10/11/2024,Impact Housing,,Las Palmas Housing & Development Corporation,FALSE,488,483,,"6171 Mission Gorge Rd, San Diego, CA 92120","$72,450",TRUE,FALSE,"$13,362,000.00",$0.00,"$11,902,584.84","$11,902,584.84",1.25%,$0.00,"$148,918.00",,,YES,,,
48,Hillsdale Gardens Apartments,Hillsdale Property LP,San Mateo,San Mateo,CMFA,"Grant up to $10,000",24-411,10/11/2024,Vistria Group,Ethos Real Estate,"Pacific Housing, Inc.",FALSE,697,697,,"3500 Edison St, San Mateo, CA 94403","$74,775",TRUE,TRUE,"$252,362,500.00","$28,000.00","$227,126,250.00","$28,000.00",1.12%,$313.63,$313.63,,,NO,,,
49,Summerwood Apartments Homes Apartments,Standard Properties,Hayward,Alameda,CMFA,,Proposed ,10/11/2024,Standard Properties,,Housing on Merit,FALSE,162,162,,"21701 Foothill Blvd, Hayward, CA 94541","$9,900",TRUE,FALSE,"$38,656,726.00",$0.00,"$34,791,053.40","$34,791,053.40",1.17%,$0.00,"$407,890.31",,,NO,,,
50,Market Street Village Apartments,699 14TH Street CSLC LP,San Diego,San Diego,CMFA,"Grant up to $10,000",24-427,11/1/2024,Community Solutions,,Community Solutions,FALSE,229,229,,"699 14th Street, San Diego, CA","$34,350",TRUE,FALSE,"$53,339,453.00",$0.00,"$48,005,507.70","$48,005,507.70",1.25%,$0.00,"$600,616.11",,,NO,,,
51,Creekside Villas Apartments,"Post Creekside, LP",San Diego,San Diego,CMFA,"Grant up to $10,000",24-429,11/1/2024,Post Investment Group,,Integrity Housing,FALSE,145,144,,"220 47th St, San Diego, CA 92102","$21,600",TRUE,FALSE,"$5,832,864.00",$0.00,"$5,213,373.62","$5,213,373.62",1.25%,$0.00,"$65,226.60",,,NO,1984,,
