project_id,ain,legacy_ain,apn,situs_address,situs_city,situs_zip,input_address,property_name,tract_number,method,use_description,use_type,use_code,year_built,units,bedrooms,bathrooms,sqft,roll_year,roll_land_value,roll_imp_value,roll_fixture_value,roll_pers_prop_value,roll_land_base_year,roll_imp_base_year,real_estate_exemp,tax_rate_area,tax_rate_city,latitude,longitude,legal_description,notes
27,4291019007,,4291-019-007,1428 6TH ST SANTA MONICA CA 90401,SANTA MONICA CA,90401-2592,"1422-1428 6th St., Santa Monica, CA",Santa Monica Portfolio A Apartments,,manual_verified_multi,Five or more apartments,Residential,0500,1998,24,30,36,20272,2025,2850000,5670000,,,2025,2025,1937646,08004,SANTA MONICA,34.01710974,-118.49280636,SANTA MON1CA LOT    F BLK  169,Multi-parcel (2)
27,4291019006,,4291-019-006,1422 6TH ST SANTA MONICA CA 90401,SANTA MONICA CA,90401-2542,"1422-1428 6th St., Santa Monica, CA",Santa Monica Portfolio A Apartments,,manual_verified_multi,Store Combination,Commercial,1210,1997,28,26,28,20618,2025,2850000,5800000,,,2025,2025,2125161,08004,SANTA MONICA,34.01720822,-118.49292135,SANTA MON1CA LOT    E BLK  169,Multi-parcel (2)
29,4291020018,,4291-020-018,1425 6TH ST SANTA MONICA CA 90401,SANTA MONICA CA,90401-2558,"1423-1425 6th, Santa Monica, CA",Santa Monica Portfolio C Apartments,,manual_verified_multi,Five or more apartments,Residential,0500,1998,24,33,30,20100,2025,6300000,4150000,,,2025,2025,5443405,08004,SANTA MONICA,34.01755051,-118.49226262,SANTA MON1CA LOT    S BLK  168,Multi-parcel (2)
29,4291020019,,4291-020-019,1423 6TH ST SANTA MONICA CA 90401,SANTA MONICA CA,90401-2593,"1423-1425 6th, Santa Monica, CA",Santa Monica Portfolio C Apartments,,manual_verified_multi,Five or more apartments,Residential,0500,1998,24,0,0,20100,2025,6300000,4150000,,,2025,2025,5443405,08004,SANTA MONICA,34.01764902,-118.49237759,SANTA MON1CA LOT    T BLK  168,Multi-parcel (2)
39,6005021032,,6005-021-032,6200 S BROADWAY LOS ANGELES CA 90003,LOS ANGELES CA,90003-1430,"6200 S Broadway, Los Angeles, CA",6200 S. Broadway Apartments,,manual_verified,Commercial,Commercial,100V,2012,1,0,1,1488,2025,1326510,0,,,2023,2023,0,06659,LOS ANGELES,33.98309442,-118.277933,WALTERS' MAIN ST AND MONETA AVE TRACT NO 2 EX OF ST LOTS 181 AND LOT  182,
40,5021009036,,5021-009-036,4238 S WESTERN AVE LOS ANGELES CA 90062,LOS ANGELES CA,90062-1642,"4228 Western Avenue, Los Angeles, CA",4228 Western Ave. Apartments,,manual_verified,Stores,Commercial,1100,2024,68,76,76,40081,2025,17790840,0,,,2023,2023,0,00212,LOS ANGELES,34.00635241,-118.30856925,"DARTMOUTH SQUARE LOTS 7, 8 AND 9",
37,5183013023,5183013001,5183-013-023,,,,"2330 E. 3rd Street, Los Angeles, CA",2330 E. 3rd Street Apartments,,parcel_in_transition,(pending),,,,,,,,,,,,,,,,,LOS ANGELES,34.04134208,-118.21155602,,Legacy AIN 5183013001 consolidated to 5183013023
41,5020025039,,5020-025-039,4301 S VERMONT AVE LOS ANGELES CA 90037,LOS ANGELES CA,90037-2411,"4327 S Vermont, Los Angeles, CA",4327 S. Vermont Apartments,,manual_verified,Stores,Commercial,1100,1968,11,0,0,10486,2025,3529071,190487,,,2023,2023,0,06660,LOS ANGELES,34.00491555,-118.29205355,P.M.6-70 LOT B,
42,6083001009,,6083-001-009,110 E IMPERIAL HWY LOS ANGELES CA 90061,LOS ANGELES CA,90061-2543,"110 Imperial Highway, Los Angeles, CA",2023 Imperial Apartments,,manual_verified,Lgt Manf.Sm. EQPT. Manuf Sm.Shps Instr.Manuf. Prnt Plnts,Industrial,3100,1951,0,0,0,7675,2025,213261,216103,,,2004,2004,0,06654,LOS ANGELES,33.93076254,-118.27311366,TRACT NO 3598 LOT COM AT MOST S COR OF LOT 9 TH N 54 DEG 17 M1N 2O SEC W 145.46 FT TH N ON A CURVE CONCAVE TO E RAD1US EQUALS 4O FT 37.51 FT TH N 44 DEG 38 M1N 56 SEC E 11.31 FT TH N 89 DEG 38 M1N 56 SEC E 126.42 FT TH S O DEG 33 M1N 3O SEC E 126.89 FT TO BEG PART OF LOT    9,
46,5109003014,,5109-003-014,4752 S MAIN ST LOS ANGELES CA 90037,LOS ANGELES CA,90037-3251,"4752 Main St, Los Angeles, CA 90037",4752 Main Street Apartments,,manual_verified_multi,Parking Lots (Commercial Use Properties),Commercial,2700,1955,1,0,0,5400,2025,599666,1081,,,2021,2021,0,06659,LOS ANGELES,33.99975865,-118.27360606,TRACT # 2816 LOT    1,Multi-parcel (2)
