ain,apn,situs_address,input_address,property_name,tract_number,method,use_description,notes
6063029029,6063-029-029,10705 AVALON BLVD LOS ANGELES CA 90061,"10705 Avalon Blvd, Los Angeles, CA",10705 Avalon Blvd Apartments,,manual_verified,Stores,
5518026004,5518-026-004,236 N BERENDO ST LOS ANGELES CA 90004,"236 N. Berendo Street., Los Angeles, CA",236 Berendo Apartments,,manual_verified,Single,
2125017014,2125-017-014,18337 KITTRIDGE ST LOS ANGELES CA 91335,"18337 Kittridge St, Reseda, CA 91335",Kittridge Affordable Housing Apartments,,manual_verified,Single,
4125011010,4125-011-010,,"9033 Ramsgate Avenue, Westchester, CA",9033 Ramsgate Apartments,,parcel_in_transition,(pending),AIN not in DB
6022014002,6022-014-002,7655 S SAN PEDRO ST LOS ANGELES CA 90003,"7655 S San Pedro St, Los Angeles, CA 90003",San Pedro Apartments,,manual_verified,Store Combination,
5094004007,5094-004-007,715 S NORMANDIE AVE LOS ANGELES CA 90005,"715 Normandie Ave, Los Angeles, CA 90005",Langham Apartments,,manual_verified,Five or more apartments,
4110025040,4110-025-040,7518 AGNEW AVE LOS ANGELES CA 90045,"7518 S. Hoover, Los Angeles, CA 90044",7518 Hoover St. Apartments,,manual_verified_multi,Single,Multi-parcel (2)
6020022025,6020-022-025,,"7518 S. Hoover, Los Angeles, CA 90044",7518 Hoover St. Apartments,,parcel_in_transition,(pending),Multi-parcel (2). AIN not in DB.
5547013021,5547-013-021,6762 HAWTHORN AVE LOS ANGELES CA 90028,"6762 Hawthorn Ave, Los Angeles, CA 90028",Premiere Hollywood Apartments,,manual_verified,Five or more apartments,
5024017036,5024-017-036,4252 S CRENSHAW BLVD LOS ANGELES CA 90008,4252 S CRENSHAW BLVD LOS ANGELES CA 90008,4252 Crenshaw Apartments,,manual_verified,Five or more apartments,
6320011041,6320-011-041,2701 RANDOLPH ST HUNTINGTON PARK CA 90255,"2701 Randolph St., Huntington Park, CA",Seville Gardens Apartments,,manual_verified,Five or more apartments,
7418014021,7418-014-021,445 N AVALON BLVD LOS ANGELES CA 90744,"445 N. Avalon Boulevard, Los Angeles, CA",Harbour Residences Apartments,,manual_verified,Stores,
5020017007,5020-017-007,1130 W MARTIN LUTHER KING JR BLVD LOS ANGELES CA 90037,"1130 W Martin Luther King Jr Blvd, Los Angeles, CA 90037",1130 Martin Luther King Jr. Blvd Apartments,,manual_verified,Store Combination,
2321001019,2321-001-019,12300 SHERMAN WAY LOS ANGELES CA 91605,"12300 Sherman Way, North Hollywood, CA 91605",Marquee Apartments,,manual_verified,Five or more apartments,
5180001013,5180-001-013,,"228 N Soto Street, Los Angeles, CA",Soto Apartments,,parcel_in_transition,(pending),AIN not in DB
5409005030,5409-005-030,1457 N MAIN ST LOS ANGELES CA 90012,"1457 N Main St, Los Angeles, CA 90012",1457 Main Street Apartments,,manual_verified,Food Processing Plants,
3004004033,3004-004-033,38441 5TH ST W PALMDALE CA 93551,"38441 5th St W, Palmdale, CA 93551",Chaparral Apartments,,manual_verified,Five or more apartments,
6070003038,6070-003-038,,"10811 S. Compton Avenue, Los Angeles, CA",10811 S. Compton Ave Apartments,,parcel_in_transition,(pending),AIN not in DB
6006018001,6006-018-001,6401 AVALON BLVD LOS ANGELES CA 90003,"6401 S. Avalon Blvd., Los Angeles, CA",6401 S. Avalon Blvd. Apartments,,manual_verified,Commercial,
6048004025,6048-004-025,9515 COMPTON AVE LOS ANGELES CA 90002,"9515 Compton Avenue, Los Angeles, CA",9515 Compton Ave. Apartments,,manual_verified,Five or more apartments,
7451026002,7451-026-002,685 W 4TH ST LOS ANGELES CA 90731,"685 W. 4th St., Los Angeles, CA ",685 W. 4th St Apartments,,manual_verified,Five or more apartments,
8576001024,8576-001-024,4608 ARDEN WAY EL MONTE CA 91731,"4640 Arden Way, El Monte, CA 91731",The Parker Apartments,,manual_verified,Five or more apartments,
5093017031,5093-017-031,808 S HOBART BLVD LOS ANGELES CA 90005,"808 S. Hobart Boulevard, Los Angeles, CA",Ashby Apartments,,manual_verified,Five or more apartments,
5080008006,5080-008-006,975 S OXFORD AVE LOS ANGELES CA 90006,"975-985 S. Oxford Avenue, Los Angeles, CA",Oxford I Apartments,,manual_verified_multi,Five or more apartments,Multi-parcel (3)
5080008007,5080-008-007,979 S OXFORD AVE LOS ANGELES CA 90006,"975-985 S. Oxford Avenue, Los Angeles, CA",Oxford I Apartments,,manual_verified_multi,Five or more apartments,Multi-parcel (3)
5080008008,5080-008-008,985 S OXFORD AVE LOS ANGELES CA 90006,"975-985 S. Oxford Avenue, Los Angeles, CA",Oxford I Apartments,,manual_verified_multi,Five or more apartments,Multi-parcel (3)
5504029006,5504-029-006,515 S ST ANDREWS PL LOS ANGELES CA 90020,"515 S. St. Andrews Place, Los Angeles, CA 90020",St. Andrews I Apartments,,manual_verified,Five or more apartments,
5503024012,5503-024-012,530 S KINGSLEY DR LOS ANGELES CA 90020,"530 Kingsley Drive, Los Angeles, CA",Kingsley Apartments,,manual_verified,Five or more apartments,
5502019004,5502-019-004,520 S MARIPOSA AVE LOS ANGELES CA 90020,"520 S. Mariposa Avenue, Los Angeles, CA",Mariposa IV Apartments,,manual_verified,Five or more apartments,
4276017047,4276-017-047,2424 WILSHIRE BLVD SANTA MONICA CA 90403,"2424 Wilshire Blvd, Los Angeles, CA 90057",Park Wilshire Apartments,,manual_verified,Office Buildings,
5093010009,5093-010-009,841 S SERRANO AVE LOS ANGELES CA 90005,"841 S Serrano Ave, Los Angeles, CA 90005",Sir Francis Drake Villa Apartments,,manual_verified,Five or more apartments,
